region_iso,sex,year,Lee-Carter,LE random walk with drift,ASDR random walk with drift,ggflag_region
SI,Total,2020,10,9,9,si
SI,Total,2021,13,13,13,si
SI,Total,2022,29,24,27,si
SI,Total,2023,27,23,27,si
SI,Total,2024,28,24,27,si
SK,Total,2020,13,15,14,sk
SK,Total,2021,2,2,2,sk
SK,Total,2022,8,10,9,sk
SK,Total,2023,22,27,26,sk
SK,Total,2024,22,27,26,sk
TW,Total,2020,34,34,34,tw
TW,Total,2021,33,30,30,tw
TW,Total,2022,7,5,5,tw
TW,Total,2023,2,2,1,tw
TW,Total,2024,4,4,2,tw
US,Total,2020,1,1,1,us
US,Total,2021,7,4,4,us
US,Total,2022,6,4,2,us
US,Total,2023,26,9,8,us
US,Total,2024,33,23,20,us
