region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
GB-EAW,Total,2020,-1.476804,-1.212853,-0.987956,81.752925,80.538764,0,sig
GB-EAW,Total,2021,-1.539259,-1.126495,-0.736746,81.854998,80.731088,0,sig
GB-EAW,Total,2022,-1.301886,-0.801528,-0.316815,81.970783,81.172062,0,sig
GB-EAW,Total,2023,-1.415971,-0.809874,-0.239173,82.081112,81.259926,0.008,sig
GB-EAW,Total,2024,-1.032939,-0.391519,0.272234,82.151685,81.760205,0.096,ns
GB-EAW,Total,2020-2024,-1.307465,-0.864068,-0.442769,81.955368000000007,81.091288,0,sig
GB-NIR,Total,2020,-1.368575,-1.014195,-0.611693,81.145953,80.13058,0,sig
GB-NIR,Total,2021,-1.629175,-1.128994,-0.667297,81.270236,80.126189,0,sig
GB-NIR,Total,2022,-1.250016,-0.59611,-0.06537,81.405391,80.788925,0.012,sig
GB-NIR,Total,2023,-1.109198,-0.447793,0.160968,81.538514,81.0861,0.096,ns
GB-NIR,Total,2024,-1.826168,-1.119839,-0.339401,81.665068,80.558034,0.004,sig
GB-NIR,Total,2020-2024,-1.356465,-0.856925,-0.399499,81.411748,80.541936,0,sig
GB-SCT,Total,2020,-1.088597,-0.92344,-0.696762,79.385589,78.462622,0,sig
GB-SCT,Total,2021,-1.199136,-0.980453,-0.711897,79.456738,78.479218,0,sig
GB-SCT,Total,2022,-0.750437,-0.479812,-0.215957,79.494041,79.019508,0,sig
GB-SCT,Total,2023,-0.804964,-0.514431,-0.175345,79.547306,79.044731,0.004,sig
GB-SCT,Total,2024,-0.330231,-0.013526,0.296866,79.612878,79.602621,1,ns
GB-SCT,Total,2020-2024,-0.776532,-0.573154,-0.34936,79.497451,78.923883,0,sig
GR,Total,2020,-0.628627,-0.334366,-0.027321,81.625822,81.281887,0.016,sig
GR,Total,2021,-1.909737,-1.538061,-1.118978,81.72956,80.178266,0,sig
GR,Total,2022,-1.471459,-1.028014,-0.533729,81.816037,80.785632,0,sig
GR,Total,2023,-0.881697,-0.377508,0.124477,81.899051,81.51891,0.076,ns
GR,Total,2024,-0.968235,-0.465207,0.161598,81.980546,81.527093,0.052,ns
GR,Total,2020-2024,-1.144069,-0.764535,-0.359899,81.814742,81.047534,0,sig
HR,Total,2020,-1.312635,-0.879244,-0.402151,78.668936,77.786373,0,sig
HR,Total,2021,-2.648674,-1.962675,-1.411376,78.838903,76.874543,0,sig
HR,Total,2022,-1.658927,-0.924271,-0.211008,79.045299,78.134071,0,sig
HR,Total,2023,-0.917283,-0.062312,0.741096,79.257575,79.201743,0.428,ns
HR,Total,2024,-0.95192,0.010909,0.912586,79.45647,79.467537,0.516,ns
HR,Total,2020-2024,-1.400313,-0.793929,-0.236739,79.052979,78.244845,0.008,sig
HU,Total,2020,-1.228285,-0.932815,-0.603747,76.662418,75.733744,0,sig
HU,Total,2021,-3.036388,-2.636546,-2.167738,76.876418,74.244716,0,sig
HU,Total,2022,-1.403418,-0.94503,-0.388997,77.058515,76.102755,0,sig
HU,Total,2023,-0.678113,-0.137416,0.555943,77.218815,77.082367,0.336,ns
HU,Total,2024,-0.686109,-0.047024,0.709749,77.367403,77.320886,0.44,ns
HU,Total,2020-2024,-1.380576,-0.977815,-0.477173,77.031857,76.058465,0,sig
IL,Total,2020,-0.60128,-0.439146,-0.277806,82.86677,82.428483,0,sig
IL,Total,2021,-1.090458,-0.836863,-0.590488,82.959093,82.121257,0,sig
IL,Total,2022,-1.113969,-0.83895,-0.574612,83.050806,82.214351,0,sig
IL,Total,2023,-0.850322,-0.564158,-0.239317,83.141649,82.580746,0,sig
IL,Total,2024,-1.205278,-0.844739,-0.521817,83.239899,82.390075,0,sig
IL,Total,2020-2024,-0.951596,-0.7116,-0.484489,83.052512,82.345332,0,sig
IS,Total,2020,-0.730208,-0.011464,0.750099,82.812172,82.794103,0.48,ns
IS,Total,2021,-0.950599,-0.01451,1.039769,82.922552,82.908446,1,ns
IS,Total,2022,-1.888651,-0.857918,0.28681,82.980192,82.100407,0.052,ns
IS,Total,2023,-1.664681,-0.67151,0.824504,83.009508,82.363327,0.16,ns
IS,Total,2024,-1.728576,-0.49091,0.918854,83.081817,82.591674,0.248,ns
IS,Total,2020-2024,-1.238694,-0.399,0.529986,82.960306,82.532865,0.18,ns
IT,Total,2020,-1.751394,-1.240593,-0.722182,83.43485,82.193473,0,sig
IT,Total,2021,-1.758834,-1.051012,-0.316784,83.61178,82.554172,0,sig
IT,Total,2022,-1.786631,-1.00639,-0.122194,83.710837,82.702554,0.008,sig
IT,Total,2023,-1.348048,-0.360009,0.598864,83.782356,83.41667,0.22,ns
