year,sex,region,e0_actual,e0_expected_avg,e0_expected_q050,e0_expected_q950,e0_deficit_avg,e0_deficit_q050,e0_deficit_q950,year_int,e0_deficit_pval,region_code_iso3166_2_alpha3,country_code_iso3166_1,country_code_iso3166_1_alpha3,region_code_stmf,calendar_stmf,region_code_hmd,region_code_wpp,region_code_coverage,region_name_en,region_name_de,region_name_short,region_level,country_name,hemisphere,continent,group,label
2020,Female,CZ,81.301969,82.380331,81.884491,82.897183,-1.078362,-1.601283,-0.580999,2020,0,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2021,Female,CZ,80.542493,82.608361,81.864672,83.364837,-2.065868,-2.802173,-1.301234,2021,0,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2022,Female,CZ,82.000962,82.777731,81.858907,83.607107,-0.776769,-1.589206,0.113195,2022,0.056,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2023,Female,CZ,82.855533,82.958916,81.976352,83.910697,-0.103383,-1.072256,0.885329,2023,0.448,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2024,Female,CZ,83.128388,83.123753,82.003043,84.270802,0.004636,-1.155742,1.142992,2024,1,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2020-2024,Female,CZ,81.93256,82.768557,82.09951,83.481012,-0.835997,-1.55718,-0.168219,NA,0.036,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2020,Total,CZ,78.242284,79.488042,79.156371,79.776667,-1.245758,-1.56399,-0.90665,2020,0,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2021,Total,CZ,77.246258,79.726829,79.295091,80.129121,-2.480571,-2.899755,-2.049702,2021,0,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2022,Total,CZ,79.035168,79.920444,79.408073,80.375357,-0.885276,-1.334488,-0.374295,2022,0.004,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2023,Total,CZ,79.855828,80.108395,79.496107,80.688867,-0.252567,-0.84692,0.356115,2023,0.236,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2024,Total,CZ,80.061375,80.295343,79.648962,80.972953,-0.233967,-0.898861,0.438009,2024,0.28,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2020-2024,Total,CZ,78.847962,79.908522,79.485369,80.334033,-1.06056,-1.475089,-0.626413,NA,0,CZE,CZ,CZE,CZE,iso_week_date,CZE,203,Czechia,Czech Republic,Tschechien,CZE,0,Czech Republic,n,Europe,B Second wave peak,B Second wave peak Czech Republic
2020,Male,DE,78.610562,79.105867,78.666855,79.535444,-0.495304,-0.922954,-0.056566,2020,0.032,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2021,Male,DE,78.262637,79.314168,78.687517,79.988077,-1.051531,-1.725501,-0.418558,2021,0.004,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2022,Male,DE,78.224811,79.473406,78.71471,80.191502,-1.248595,-1.965187,-0.501696,2022,0,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2023,Male,DE,78.838077,79.698476,78.875166,80.517056,-0.860399,-1.701152,-0.031436,2023,0.04,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2024,Male,DE,79.195467,79.911248,78.88603,80.87543,-0.715781,-1.661749,0.299228,2024,0.132,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2020-2024,Male,DE,78.624717,79.498102,78.854175,80.177186,-0.873386,-1.556787,-0.235157,NA,0.012,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2020,Female,DE,83.44671,83.75483,83.288842,84.189688,-0.30812,-0.743756,0.15316,2020,0.132,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2021,Female,DE,83.322309,83.902395,83.256726,84.470037,-0.580086,-1.143242,0.087932,2021,0.072,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2022,Female,DE,83.11533,84.036577,83.314344,84.731799,-0.921246,-1.617622,-0.214891,2022,0.028,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2023,Female,DE,83.544376,84.180062,83.283138,84.997319,-0.635686,-1.471286,0.271716,2023,0.116,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2024,Female,DE,83.767358,84.302976,83.291946,85.142962,-0.535618,-1.373575,0.46585,2024,0.18,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2020-2024,Female,DE,83.43976,84.033017,83.381961,84.658618,-0.593258,-1.220049,0.054775,NA,0.076,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2020,Total,DE,81.022842,81.436213,81.058583,81.78185,-0.41337,-0.754757,-0.033087,2020,0.04,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2021,Total,DE,80.771253,81.613171,81.12377,82.086603,-0.841917,-1.311943,-0.344372,2021,0.004,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2022,Total,DE,80.647626,81.758071,81.241597,82.326258,-1.110445,-1.67351,-0.597512,2022,0,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2023,Total,DE,81.181482,81.94313,81.305057,82.586863,-0.761648,-1.411812,-0.11653,2023,0.02,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2024,Total,DE,81.477447,82.111074,81.390588,82.854411,-0.633627,-1.372946,0.099869,2024,0.084,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2020-2024,Total,DE,81.019552,81.770748,81.27192,82.267177,-0.751196,-1.244967,-0.249864,NA,0.004,DEU,DE,DEU,DEUTNP,iso_week_date,DEUTNP,276,Germany,Germany,Deutschland,DEU,0,Germany,n,Europe,C Late peak,C Late peak Germany
2020,Male,DK,79.644317,79.64641,79.298101,79.971383,-0.002093,-0.345186,0.35769,2020,0.476,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2021,Male,DK,79.663752,79.903024,79.419717,80.384747,-0.239272,-0.727111,0.256791,2021,0.168,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2022,Male,DK,79.300835,80.140769,79.593895,80.766177,-0.839933,-1.447611,-0.255718,2022,0.004,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2023,Male,DK,79.759078,80.378247,79.706809,81.045044,-0.619169,-1.326138,0.063522,2023,0.06,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2024,Male,DK,80.217405,80.597524,79.848496,81.328196,-0.380119,-1.124915,0.375767,2024,0.216,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2020-2024,Male,DK,79.717301,80.134323,79.65654,80.640526,-0.417021,-0.940972,0.089564,NA,0.084,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2020,Female,DK,83.460073,83.528848,83.208887,83.807641,-0.068775,-0.398957,0.24741,2020,0.356,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2021,Female,DK,83.336247,83.737403,83.297342,84.207427,-0.401156,-0.852441,0.070459,2021,0.072,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2022,Female,DK,83.181458,83.952224,83.405958,84.463677,-0.770766,-1.289036,-0.223513,2022,0.004,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2023,Female,DK,83.634301,84.169321,83.585163,84.763929,-0.53502,-1.188119,0.059815,2023,0.068,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2024,Female,DK,83.986631,84.376226,83.714608,85.145957,-0.389595,-1.16019,0.298526,2024,0.168,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2020-2024,Female,DK,83.520809,83.954473,83.527562,84.43814,-0.433664,-0.919683,0.001433,NA,0.052,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2020,Total,DK,81.560128,81.593047,81.354561,81.831117,-0.032918,-0.268655,0.23096,2020,0.404,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2021,Total,DK,81.503212,81.825466,81.544668,82.152436,-0.322255,-0.628985,-0.024158,2021,0.036,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2022,Total,DK,81.230334,82.051448,81.686348,82.47835,-0.821114,-1.22024,-0.435912,2022,0,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2023,Total,DK,81.68843,82.279431,81.857459,82.715801,-0.591001,-1.015073,-0.135035,2023,0.004,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2024,Total,DK,82.106688,82.492115,82.006678,83.00463,-0.385427,-0.9219,0.128142,2024,0.112,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2020-2024,Total,DK,81.618577,82.05005,81.7462,82.387151,-0.431473,-0.768715,-0.136487,NA,0.012,DNK,DK,DNK,DNK,iso_week_date,DNK,208,Denmark,Denmark,Dänemark,DNK,0,Denmark,n,Europe,C Late peak,C Late peak Denmark
2020,Male,EE,74.481753,74.745383,74.038693,75.400541,-0.263629,-0.970314,0.476913,2020,0.244,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2021,Male,EE,72.762012,75.134008,74.037759,76.141615,-2.371996,-3.350496,-1.32439,2021,0,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2022,Male,EE,73.667228,75.454167,74.195584,76.540881,-1.786939,-2.856207,-0.501803,2022,0.004,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2023,Male,EE,74.740891,75.771772,74.409009,76.978187,-1.030881,-2.306348,0.385236,2023,0.104,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2024,Male,EE,75.216185,76.132245,74.561239,77.453832,-0.91606,-2.352042,0.733217,2024,0.156,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2020-2024,Male,EE,74.1445,75.444802,74.433806,76.33725,-1.300302,-2.188862,-0.221598,NA,0.02,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2020,Female,EE,82.602422,83.081555,82.789736,83.352663,-0.479133,-0.875618,-0.124647,2020,0,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2021,Female,EE,81.409948,83.36677,82.981048,83.787004,-1.956822,-2.396246,-1.524655,2021,0,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2022,Female,EE,82.133379,83.630524,83.162552,84.164588,-1.497145,-1.999464,-0.972126,2022,0,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2023,Female,EE,82.779529,83.891448,83.30345,84.425002,-1.111919,-1.729944,-0.419602,2023,0,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2024,Female,EE,83.179909,84.178626,83.60001,84.800802,-0.998717,-1.608472,-0.354052,2024,0,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2020-2024,Female,EE,82.408908,83.627671,83.223061,84.040583,-1.218763,-1.632369,-0.794731,NA,0,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2020,Total,EE,78.739471,79.132082,78.73657,79.511416,-0.392611,-0.812681,0.020029,2020,0.056,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2021,Total,EE,77.198682,79.470345,78.854195,80.053328,-2.271663,-2.866843,-1.715995,2021,0,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2022,Total,EE,78.036117,79.763725,79.080422,80.445549,-1.727608,-2.384535,-1.0287520000000001,2022,0,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2023,Total,EE,78.944968,80.050894,79.262129,80.792773,-1.105926,-1.878157,-0.341681,2023,0.012,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2024,Total,EE,79.353251,80.371701,79.474625,81.150397,-1.01845,-1.815034,-0.082281000000000007,2024,0.028,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2020-2024,Total,EE,78.437957,79.756144,79.186235,80.310734,-1.318187,-1.891747,-0.708966,NA,0,EST,EE,EST,EST,iso_week_date,EST,233,Estonia,Estonia,Estland,EST,0,Estonia,n,Europe,B Second wave peak,B Second wave peak Estonia
2020,Male,ES,79.527883,80.992156,80.621467,81.334052,-1.464273,-1.813649,-1.091447,2020,0,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2021,Male,ES,80.142033,81.214696,80.693388,81.742204,-1.072662,-1.611939,-0.555704,2021,0,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2022,Male,ES,80.33963,81.421565,80.822089,82.00182,-1.081935,-1.648982,-0.493064,2022,0,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2023,Male,ES,81.057532,81.635363,80.945013,82.417183,-0.577831,-1.345833,0.117802,2023,0.084,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2024,Male,ES,81.229588,81.828514,81.015193,82.634235,-0.598926,-1.397209,0.226501,2024,0.104,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2020-2024,Male,ES,80.448295,81.418477,80.876833,81.979397,-0.970181,-1.52163,-0.429563,NA,0.004,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2020,Female,ES,85.06319,86.39077,85.938302,86.879256,-1.32758,-1.797236,-0.872357,2020,0,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2021,Female,ES,85.829791,86.556302,85.95471,87.149785,-0.726511,-1.324006,-0.12198,2021,0.02,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2022,Female,ES,85.723872,86.733916,86.044848,87.478899,-1.010045,-1.773619,-0.31306,2022,0.012,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2023,Female,ES,86.3187,86.859497,86.094444,87.708371,-0.540797,-1.359522,0.229111,2023,0.144,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2024,Female,ES,86.489577,87.017287,86.14054,87.962298,-0.52771,-1.471756,0.337429,2024,0.196,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2020-2024,Female,ES,85.868791,86.709513,86.119921,87.331254,-0.840722,-1.464077,-0.255197,NA,0.012,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2020,Total,ES,82.299569,83.733766,83.426974,84.016261,-1.434198,-1.712747,-1.122438,2020,0,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2021,Total,ES,83.003064,83.930573,83.486824,84.356309,-0.927509,-1.355941,-0.465388,2021,0,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2022,Total,ES,83.058739,84.124314,83.625148,84.612501,-1.065575,-1.574004,-0.574446,2022,0,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2023,Total,ES,83.733885,84.296157,83.687931,84.860739,-0.562272,-1.127961,0.06731,2023,0.068,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2024,Total,ES,83.905586,84.470575,83.839959,85.100196,-0.564988,-1.204063,0.059625,2024,0.084,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2020-2024,Total,ES,83.186672,84.110956,83.660088,84.547686,-0.924284,-1.361842,-0.475127,NA,0,ESP,ES,ESP,ESP,iso_week_date,ESP,724,Spain,Spain,Spanien,ESP,0,Spain,n,Europe,A First wave peak,A First wave peak Spain
2020,Male,FI,79.063376,79.409218,79.15385,79.64887,-0.345842,-0.630645,-0.066221,2020,0.016,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2021,Male,FI,79.117772,79.663653,79.30826,80.020976,-0.545881,-0.908411,-0.188793,2021,0.008,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2022,Male,FI,78.636603,79.904208,79.500613,80.370593,-1.267605,-1.718172,-0.860368,2022,0,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2023,Male,FI,79.011134,80.144571,79.647868,80.643589,-1.133438,-1.718077,-0.655929,2023,0,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2024,Male,FI,79.724502,80.371192,79.815729,80.920131,-0.646689,-1.172256,-0.073079,2024,0.028,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2020-2024,Male,FI,79.100983,79.900646,79.54759,80.278126,-0.799662,-1.18846,-0.447122,NA,0,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2020,Female,FI,84.682504,84.764531,84.464599,85.027165,-0.082027,-0.370552,0.238027,2020,0.324,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2021,Female,FI,84.396543,84.935808,84.520893,85.382872,-0.539265,-0.969672,-0.113445,2021,0.004,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2022,Female,FI,83.81929,85.114753,84.59647,85.604633,-1.295463,-1.835756,-0.760226,2022,0,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2023,Female,FI,84.285654,85.297485,84.73917,85.871732,-1.011831,-1.584354,-0.46769,2023,0.004,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2024,Female,FI,84.792401,85.472226,84.835812,86.222842,-0.679825,-1.411152,-0.030034,2024,0.044,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2020-2024,Female,FI,84.386984,85.11855,84.711564,85.583759,-0.731567,-1.192161,-0.318251,NA,0,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2020,Total,FI,81.875356,82.102167,81.907589,82.295627,-0.226811,-0.443717,-0.019756,2020,0.028,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2021,Total,FI,81.761182,82.313724,82.079001,82.580021,-0.552542,-0.816969,-0.301222,2021,0,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2022,Total,FI,81.221212,82.525866,82.195004,82.859004,-1.304654,-1.637796,-0.951765,2022,0,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2023,Total,FI,81.648166,82.741518,82.382859,83.102205,-1.093352,-1.472276,-0.711881,2023,0,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2024,Total,FI,82.271947,82.941946,82.50815,83.386574,-0.669999,-1.102137,-0.271485,2024,0,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2020-2024,Total,FI,81.746918,82.527136,82.264655,82.802919,-0.780218,-1.06917,-0.519018,NA,0,FIN,FI,FIN,FIN,iso_week_date,FIN,246,Finland,Finland,Finnland,FIN,0,Finland,n,Europe,C Late peak,C Late peak Finland
2020,Male,FR,79.211733,80.039517,79.688923,80.365287,-0.827784,-1.151652,-0.473504,2020,0,FRA,FR,FRA,FRATNP,iso_week_date,FRATNP,250,France,France,Frankreich,FRA,0,France,n,Europe,D Prolonged depression,D Prolonged depression France
2021,Male,FR,79.252733,80.266984,79.771251,80.774211,-1.01425,-1.520071,-0.526774,2021,0,FRA,FR,FRA,FRATNP,iso_week_date,FRATNP,250,France,France,Frankreich,FRA,0,France,n,Europe,D Prolonged depression,D Prolonged depression France
2022,Male,FR,79.363855,80.480445,79.90718,81.041947,-1.11659,-1.694717,-0.544488,2022,0,FRA,FR,FRA,FRATNP,iso_week_date,FRATNP,250,France,France,Frankreich,FRA,0,France,n,Europe,D Prolonged depression,D Prolonged depression France
