year,sex,region,e0_actual,e0_expected_avg,e0_expected_q050,e0_expected_q950,e0_deficit_avg,e0_deficit_q050,e0_deficit_q950,year_int,e0_deficit_pval,region_code_iso3166_2_alpha3,country_code_iso3166_1,country_code_iso3166_1_alpha3,region_code_stmf,calendar_stmf,region_code_hmd,region_code_wpp,region_code_coverage,region_name_en,region_name_de,region_name_short,region_level,country_name,hemisphere,continent,group,label
2021,Male,BE,79.237386,80.051422,79.531963,80.583415,-0.814036,-1.371266,-0.285928,2021,0.004,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2022,Male,BE,79.48879,80.295276,79.616493,81.019246,-0.806486,-1.518882,-0.128856,2022,0.024,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2023,Male,BE,80.153929,80.52724,79.737788,81.296353,-0.373311,-1.121249,0.397228,2023,0.24,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2024,Male,BE,80.267392,80.790566,79.877594,81.686818,-0.523174,-1.371242,0.349843,2024,0.16,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2020-2024,Male,BE,79.504666,80.296525,79.739573,80.87832,-0.791859,-1.388221,-0.244322,NA,0.012,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2020,Female,BE,83.068401,84.163144,83.781344,84.526299,-1.094742,-1.446061,-0.680929,2020,0,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2021,Female,BE,83.984927,84.29246,83.780333,84.779482,-0.307533,-0.802361,0.223626,2021,0.136,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2022,Female,BE,83.669754,84.435343,83.79714,85.072432,-0.765589,-1.409586,-0.139231,2022,0.016,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2023,Female,BE,84.274239,84.615171,83.957023,85.370164,-0.340932,-1.079275,0.328397,2023,0.232,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2024,Female,BE,84.302894,84.738463,83.934257,85.5159,-0.435568,-1.216086,0.364698,2024,0.196,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2020-2024,Female,BE,83.839053,84.44714,83.938532,85.038897,-0.608087,-1.181478,-0.093939,NA,0.032,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2020,Total,BE,80.770057,82.02565,81.760759,82.28726,-1.255593,-1.51143,-0.992439,2020,0,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2021,Total,BE,81.626153,82.206514,81.845925,82.639392,-0.580361,-0.99114,-0.188337,2021,0.008,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2022,Total,BE,81.60602,82.400342,81.910189,82.903204,-0.794323,-1.285064,-0.303627,2022,0,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2023,Total,BE,82.251434,82.60509,82.031773,83.140703,-0.353655,-0.897772,0.246695,2023,0.136,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2024,Total,BE,82.315855,82.797656,82.165593,83.404367,-0.481802,-1.084535,0.12565,2024,0.1,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2020-2024,Total,BE,81.69441,82.406802,81.982808,82.817455,-0.712392,-1.117423,-0.289472,NA,0,BEL,BE,BEL,BEL,iso_week_date,BEL,56,Belgium,Belgium,Belgien,BEL,0,Belgium,n,Europe,A First wave peak,A First wave peak Belgium
2020,Male,BG,70.17485,71.685362,71.335119,72.028295,-1.510511,-1.876449,-1.144452,2020,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2021,Male,BG,68.03398,71.855548,71.355477,72.394118,-3.821568,-4.354449,-3.31287,2021,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2022,Male,BG,70.83832,71.986587,71.381036,72.560849,-1.148267,-1.715571,-0.518008,2022,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2023,Male,BG,72.48542,72.170339,71.512807,72.825982,0.315081,-0.370616,0.952975,2023,1,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2024,Male,BG,72.799966,72.344548,71.525314,73.118352,0.455417,-0.278306,1.255212,2024,1,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2020-2024,Male,BG,70.705398,72.003854,71.492833,72.544766,-1.298456,-1.850377,-0.746446,NA,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2020,Female,BG,77.648255,78.934948,78.520691,79.322872,-1.286693,-1.692449,-0.843143,2020,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
2021,Female,BG,75.064129,79.130329,78.557839,79.636021,-4.0662,-4.621539,-3.476014,2021,0,BGR,BG,BGR,BGR,iso_week_date,BGR,100,Bulgaria,Bulgaria,Bulgarien,BGR,0,Bulgaria,n,Europe,B Second wave peak,B Second wave peak Bulgaria
