group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
A First wave peak,ES,Spain,2022,80,-0.216968,es
A First wave peak,ES,Spain,2022,100,-2.13e-4,es
A First wave peak,ES,Spain,2023,0,-0.071962,es
A First wave peak,ES,Spain,2023,20,-0.198815,es
A First wave peak,ES,Spain,2023,40,0.002299,es
A First wave peak,ES,Spain,2023,60,-0.317058,es
A First wave peak,ES,Spain,2023,80,0.022111,es
A First wave peak,ES,Spain,2023,100,0.002027,es
A First wave peak,ES,Spain,2024,0,-0.126019,es
A First wave peak,ES,Spain,2024,20,-0.222328,es
A First wave peak,ES,Spain,2024,40,0.001455,es
A First wave peak,ES,Spain,2024,60,-0.223379,es
A First wave peak,ES,Spain,2024,80,0.045077,es
A First wave peak,ES,Spain,2024,100,0.003645,es
A First wave peak,GB-EAW,England and Wales,2020,0,0.005245,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,20,-0.014463,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,40,-0.284562,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,60,-0.624147,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,80,-0.423918,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,100,6.52e-4,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,0,-0.047656,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,20,-0.04709,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,40,-0.275204,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,60,-0.417674,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,80,-0.202941,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,100,0.001293,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,0,-0.048747,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,20,-0.076372,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,40,-0.380447,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,60,-0.577787,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,80,-0.212482,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,100,0.001123,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,0,-0.063424,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,20,-0.044622,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,40,-0.220711,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,60,-0.34664,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,80,-0.192712,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,100,5.95e-4,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,0,-0.072263,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,20,-0.063518,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,40,-0.27444,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,60,-0.359073,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,80,-0.156721,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,100,0.001323,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,0,-0.061654,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,20,-0.03713,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,40,-0.20859,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,60,-0.187204,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,80,-0.006755,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,100,0.0035,gb-eaw
A First wave peak,IT,Italy,2020,0,0.03305,it
A First wave peak,IT,Italy,2020,20,-0.013929,it
A First wave peak,IT,Italy,2020,40,-0.153622,it
A First wave peak,IT,Italy,2020,60,-0.785779,it
A First wave peak,IT,Italy,2020,80,-0.488187,it
A First wave peak,IT,Italy,2020,100,-5.17e-4,it
A First wave peak,IT,Italy,2020-2024,0,-0.006473,it
A First wave peak,IT,Italy,2020-2024,20,-0.053021,it
A First wave peak,IT,Italy,2020-2024,40,-0.119167,it
A First wave peak,IT,Italy,2020-2024,60,-0.411364,it
A First wave peak,IT,Italy,2020-2024,80,-0.285365,it
A First wave peak,IT,Italy,2020-2024,100,0.001921,it
A First wave peak,IT,Italy,2021,0,0.004347,it
A First wave peak,IT,Italy,2021,20,-0.064481,it
A First wave peak,IT,Italy,2021,40,-0.180194,it
A First wave peak,IT,Italy,2021,60,-0.633421,it
A First wave peak,IT,Italy,2021,80,-0.298493,it
A First wave peak,IT,Italy,2021,100,0.001496,it
A First wave peak,IT,Italy,2022,0,-0.008459,it
A First wave peak,IT,Italy,2022,20,-0.063523,it
A First wave peak,IT,Italy,2022,40,-0.128614,it
A First wave peak,IT,Italy,2022,60,-0.444178,it
A First wave peak,IT,Italy,2022,80,-0.400564,it
A First wave peak,IT,Italy,2022,100,0.001008,it
A First wave peak,IT,Italy,2023,0,-0.025817,it
A First wave peak,IT,Italy,2023,20,-0.059026,it
A First wave peak,IT,Italy,2023,40,-0.075745,it
A First wave peak,IT,Italy,2023,60,-0.141818,it
A First wave peak,IT,Italy,2023,80,-0.140378,it
A First wave peak,IT,Italy,2023,100,0.004381,it
A First wave peak,IT,Italy,2024,0,-0.039867,it
A First wave peak,IT,Italy,2024,20,-0.066133,it
A First wave peak,IT,Italy,2024,40,-0.052619,it
A First wave peak,IT,Italy,2024,60,-0.021664,it
A First wave peak,IT,Italy,2024,80,-0.058999,it
A First wave peak,IT,Italy,2024,100,0.005465,it
A First wave peak,LU,Luxembourg,2020,0,-0.08695,lu
A First wave peak,LU,Luxembourg,2020,20,0.026142,lu
A First wave peak,LU,Luxembourg,2020,40,-0.077008,lu
A First wave peak,LU,Luxembourg,2020,60,-0.327762,lu
A First wave peak,LU,Luxembourg,2020,80,-0.352476,lu
A First wave peak,LU,Luxembourg,2020,100,0.0075,lu
A First wave peak,LU,Luxembourg,2020-2024,0,-0.191529,lu
A First wave peak,LU,Luxembourg,2020-2024,20,-0.019517,lu
A First wave peak,LU,Luxembourg,2020-2024,40,-0.016246,lu
A First wave peak,LU,Luxembourg,2020-2024,60,-0.157387,lu
A First wave peak,LU,Luxembourg,2020-2024,80,-0.145603,lu
A First wave peak,LU,Luxembourg,2020-2024,100,0.007728,lu
A First wave peak,LU,Luxembourg,2021,0,0.05097,lu
A First wave peak,LU,Luxembourg,2021,20,0.067972,lu
A First wave peak,LU,Luxembourg,2021,40,-0.07495,lu
A First wave peak,LU,Luxembourg,2021,60,-0.325638,lu
A First wave peak,LU,Luxembourg,2021,80,-0.133101,lu
A First wave peak,LU,Luxembourg,2021,100,0.019948,lu
A First wave peak,LU,Luxembourg,2022,0,-0.298224,lu
A First wave peak,LU,Luxembourg,2022,20,-0.095098,lu
A First wave peak,LU,Luxembourg,2022,40,0.042412,lu
A First wave peak,LU,Luxembourg,2022,60,-0.077297,lu
A First wave peak,LU,Luxembourg,2022,80,-0.125544,lu
A First wave peak,LU,Luxembourg,2022,100,0.017746,lu
A First wave peak,LU,Luxembourg,2023,0,-0.015758,lu
A First wave peak,LU,Luxembourg,2023,20,-0.036578,lu
A First wave peak,LU,Luxembourg,2023,40,0.065319,lu
A First wave peak,LU,Luxembourg,2023,60,0.016768,lu
A First wave peak,LU,Luxembourg,2023,80,0.164251,lu
A First wave peak,LU,Luxembourg,2023,100,0.040254,lu
A First wave peak,LU,Luxembourg,2024,0,-0.591688,lu
A First wave peak,LU,Luxembourg,2024,20,-0.057244,lu
A First wave peak,LU,Luxembourg,2024,40,-0.033395,lu
A First wave peak,LU,Luxembourg,2024,60,-0.080858,lu
A First wave peak,LU,Luxembourg,2024,80,-0.213489,lu
A First wave peak,LU,Luxembourg,2024,100,0.015412,lu
A First wave peak,SE,Sweden,2020,0,-0.087787,se
A First wave peak,SE,Sweden,2020,20,0.043968,se
A First wave peak,SE,Sweden,2020,40,-0.072953,se
A First wave peak,SE,Sweden,2020,60,-0.41601,se
A First wave peak,SE,Sweden,2020,80,-0.358639,se
A First wave peak,SE,Sweden,2020,100,-7.6e-5,se
A First wave peak,SE,Sweden,2020-2024,0,-0.05543,se
A First wave peak,SE,Sweden,2020-2024,20,0.055833,se
A First wave peak,SE,Sweden,2020-2024,40,-0.053138,se
A First wave peak,SE,Sweden,2020-2024,60,-0.300607,se
A First wave peak,SE,Sweden,2020-2024,80,-0.116708,se
A First wave peak,SE,Sweden,2020-2024,100,7e-4,se
A First wave peak,SE,Sweden,2021,0,-0.029725,se
A First wave peak,SE,Sweden,2021,20,0.041325,se
A First wave peak,SE,Sweden,2021,40,-0.085639,se
A First wave peak,SE,Sweden,2021,60,-0.350736,se
A First wave peak,SE,Sweden,2021,80,-0.052095,se
A First wave peak,SE,Sweden,2021,100,0.001,se
A First wave peak,SE,Sweden,2022,0,-0.04449,se
A First wave peak,SE,Sweden,2022,20,0.029971,se
A First wave peak,SE,Sweden,2022,40,-0.037644,se
A First wave peak,SE,Sweden,2022,60,-0.309392,se
A First wave peak,SE,Sweden,2022,80,-0.148676,se
A First wave peak,SE,Sweden,2022,100,-0.001307,se
A First wave peak,SE,Sweden,2023,0,-0.064374,se
A First wave peak,SE,Sweden,2023,20,0.039819,se
A First wave peak,SE,Sweden,2023,40,-0.054187,se
A First wave peak,SE,Sweden,2023,60,-0.309038,se
A First wave peak,SE,Sweden,2023,80,-0.099979,se
A First wave peak,SE,Sweden,2023,100,0.001242,se
A First wave peak,SE,Sweden,2024,0,-0.051557,se
A First wave peak,SE,Sweden,2024,20,0.128213,se
A First wave peak,SE,Sweden,2024,40,-0.015969,se
A First wave peak,SE,Sweden,2024,60,-0.1127,se
A First wave peak,SE,Sweden,2024,80,0.089537,se
A First wave peak,SE,Sweden,2024,100,0.004753,se
A First wave peak,SI,Slovenia,2020,0,-0.074274,si
A First wave peak,SI,Slovenia,2020,20,0.024303,si
A First wave peak,SI,Slovenia,2020,40,-0.061269,si
A First wave peak,SI,Slovenia,2020,60,-0.537977,si
A First wave peak,SI,Slovenia,2020,80,-0.424051,si
A First wave peak,SI,Slovenia,2020,100,0.001364,si
A First wave peak,SI,Slovenia,2020-2024,0,-0.102035,si
A First wave peak,SI,Slovenia,2020-2024,20,-0.017807,si
A First wave peak,SI,Slovenia,2020-2024,40,-0.064665,si
A First wave peak,SI,Slovenia,2020-2024,60,-0.446897,si
A First wave peak,SI,Slovenia,2020-2024,80,-0.158277,si
A First wave peak,SI,Slovenia,2020-2024,100,0.007473,si
A First wave peak,SI,Slovenia,2021,0,-0.18455,si
A First wave peak,SI,Slovenia,2021,20,0.003593,si
A First wave peak,SI,Slovenia,2021,40,-0.225844,si
A First wave peak,SI,Slovenia,2021,60,-0.802206,si
A First wave peak,SI,Slovenia,2021,80,-0.232563,si
A First wave peak,SI,Slovenia,2021,100,0.009633,si
A First wave peak,SI,Slovenia,2022,0,-0.162687,si
A First wave peak,SI,Slovenia,2022,20,-0.077086,si
A First wave peak,SI,Slovenia,2022,40,0.022254,si
A First wave peak,SI,Slovenia,2022,60,-0.404098,si
A First wave peak,SI,Slovenia,2022,80,-0.05991,si
A First wave peak,SI,Slovenia,2022,100,0.018153,si
A First wave peak,SI,Slovenia,2023,0,-0.054917,si
A First wave peak,SI,Slovenia,2023,20,-0.003481,si
A First wave peak,SI,Slovenia,2023,40,-0.10193,si
A First wave peak,SI,Slovenia,2023,60,-0.302932,si
A First wave peak,SI,Slovenia,2023,80,-0.019648,si
A First wave peak,SI,Slovenia,2023,100,0.012015,si
A First wave peak,SI,Slovenia,2024,0,-0.017519,si
A First wave peak,SI,Slovenia,2024,20,-0.041548,si
A First wave peak,SI,Slovenia,2024,40,0.053758,si
A First wave peak,SI,Slovenia,2024,60,-0.161974,si
A First wave peak,SI,Slovenia,2024,80,0.017769,si
A First wave peak,SI,Slovenia,2024,100,0.011623,si
B Second wave peak,BG,Bulgaria,2020,0,0.165934,bg
B Second wave peak,BG,Bulgaria,2020,20,-0.081279,bg
B Second wave peak,BG,Bulgaria,2020,40,-0.562375,bg
B Second wave peak,BG,Bulgaria,2020,60,-1.062433,bg
B Second wave peak,BG,Bulgaria,2020,80,-0.193803,bg
B Second wave peak,BG,Bulgaria,2020,100,-1.77e-4,bg
B Second wave peak,BG,Bulgaria,2020-2024,0,0.10763,bg
B Second wave peak,BG,Bulgaria,2020-2024,20,-0.100007,bg
B Second wave peak,BG,Bulgaria,2020-2024,40,-0.360046,bg
B Second wave peak,BG,Bulgaria,2020-2024,60,-0.897997,bg
B Second wave peak,BG,Bulgaria,2020-2024,80,-0.171408,bg
B Second wave peak,BG,Bulgaria,2020-2024,100,-5.2e-5,bg
B Second wave peak,BG,Bulgaria,2021,0,0.069699,bg
B Second wave peak,BG,Bulgaria,2021,20,-0.342388,bg
B Second wave peak,BG,Bulgaria,2021,40,-1.076387,bg
B Second wave peak,BG,Bulgaria,2021,60,-2.010241,bg
B Second wave peak,BG,Bulgaria,2021,80,-0.443818,bg
B Second wave peak,BG,Bulgaria,2021,100,-7.5e-5,bg
B Second wave peak,BG,Bulgaria,2022,0,0.09121,bg
B Second wave peak,BG,Bulgaria,2022,20,-0.039176,bg
B Second wave peak,BG,Bulgaria,2022,40,-0.215886,bg
B Second wave peak,BG,Bulgaria,2022,60,-0.832725,bg
B Second wave peak,BG,Bulgaria,2022,80,-0.242796,bg
B Second wave peak,BG,Bulgaria,2022,100,-7.6e-5,bg
B Second wave peak,BG,Bulgaria,2023,0,0.097515,bg
B Second wave peak,BG,Bulgaria,2023,20,-0.019551,bg
B Second wave peak,BG,Bulgaria,2023,40,0.119671,bg
B Second wave peak,BG,Bulgaria,2023,60,-0.107495,bg
B Second wave peak,BG,Bulgaria,2023,80,0.095186,bg
B Second wave peak,BG,Bulgaria,2023,100,0.001117,bg
B Second wave peak,BG,Bulgaria,2024,0,0.114334,bg
B Second wave peak,BG,Bulgaria,2024,20,0.007334,bg
B Second wave peak,BG,Bulgaria,2024,40,0.087447,bg
B Second wave peak,BG,Bulgaria,2024,60,-0.069038,bg
B Second wave peak,BG,Bulgaria,2024,80,0.133022,bg
B Second wave peak,BG,Bulgaria,2024,100,0.001832,bg
B Second wave peak,CZ,Czech Republic,2020,0,0.01392,cz
B Second wave peak,CZ,Czech Republic,2020,20,-0.049141,cz
B Second wave peak,CZ,Czech Republic,2020,40,-0.205261,cz
B Second wave peak,CZ,Czech Republic,2020,60,-0.658129,cz
B Second wave peak,CZ,Czech Republic,2020,80,-0.389918,cz
B Second wave peak,CZ,Czech Republic,2020,100,-3.29e-4,cz
B Second wave peak,CZ,Czech Republic,2020-2024,0,0.004602,cz
B Second wave peak,CZ,Czech Republic,2020-2024,20,-0.097348,cz
B Second wave peak,CZ,Czech Republic,2020-2024,40,-0.30565,cz
B Second wave peak,CZ,Czech Republic,2020-2024,60,-0.473064,cz
B Second wave peak,CZ,Czech Republic,2020-2024,80,-0.222045,cz
B Second wave peak,CZ,Czech Republic,2020-2024,100,-4.36e-4,cz
B Second wave peak,CZ,Czech Republic,2021,0,-0.007752,cz
B Second wave peak,CZ,Czech Republic,2021,20,-0.093565,cz
B Second wave peak,CZ,Czech Republic,2021,40,-0.613881,cz
B Second wave peak,CZ,Czech Republic,2021,60,-1.459898,cz
B Second wave peak,CZ,Czech Republic,2021,80,-0.456101,cz
B Second wave peak,CZ,Czech Republic,2021,100,-2.57e-4,cz
B Second wave peak,CZ,Czech Republic,2022,0,0.005225,cz
B Second wave peak,CZ,Czech Republic,2022,20,-0.122331,cz
B Second wave peak,CZ,Czech Republic,2022,40,-0.23456,cz
B Second wave peak,CZ,Czech Republic,2022,60,-0.282927,cz
B Second wave peak,CZ,Czech Republic,2022,80,-0.204038,cz
B Second wave peak,CZ,Czech Republic,2022,100,-1.86e-4,cz
B Second wave peak,CZ,Czech Republic,2023,0,0.027707,cz
B Second wave peak,CZ,Czech Republic,2023,20,-0.099866,cz
B Second wave peak,CZ,Czech Republic,2023,40,-0.206805,cz
B Second wave peak,CZ,Czech Republic,2023,60,0.092072,cz
B Second wave peak,CZ,Czech Republic,2023,80,-0.023616,cz
B Second wave peak,CZ,Czech Republic,2023,100,1.26e-4,cz
B Second wave peak,CZ,Czech Republic,2024,0,-0.010731,cz
B Second wave peak,CZ,Czech Republic,2024,20,-0.125464,cz
B Second wave peak,CZ,Czech Republic,2024,40,-0.262416,cz
B Second wave peak,CZ,Czech Republic,2024,60,0.139954,cz
B Second wave peak,CZ,Czech Republic,2024,80,0.051868,cz
B Second wave peak,CZ,Czech Republic,2024,100,-6.75e-4,cz
B Second wave peak,EE,Estonia,2020,0,0.050621,ee
B Second wave peak,EE,Estonia,2020,20,0.174162,ee
B Second wave peak,EE,Estonia,2020,40,-0.352812,ee
B Second wave peak,EE,Estonia,2020,60,-0.207739,ee
B Second wave peak,EE,Estonia,2020,80,0.03002,ee
B Second wave peak,EE,Estonia,2020,100,0.002779,ee
B Second wave peak,EE,Estonia,2020-2024,0,-0.091352,ee
B Second wave peak,EE,Estonia,2020-2024,20,0.013972,ee
B Second wave peak,EE,Estonia,2020-2024,40,-0.58559,ee
B Second wave peak,EE,Estonia,2020-2024,60,-0.524479,ee
B Second wave peak,EE,Estonia,2020-2024,80,-0.176101,ee
B Second wave peak,EE,Estonia,2020-2024,100,2.62e-4,ee
B Second wave peak,EE,Estonia,2021,0,-0.186989,ee
B Second wave peak,EE,Estonia,2021,20,-0.018079,ee
B Second wave peak,EE,Estonia,2021,40,-0.684028,ee
B Second wave peak,EE,Estonia,2021,60,-1.129448,ee
B Second wave peak,EE,Estonia,2021,80,-0.389027,ee
B Second wave peak,EE,Estonia,2021,100,6.88e-4,ee
B Second wave peak,EE,Estonia,2022,0,-0.106382,ee
B Second wave peak,EE,Estonia,2022,20,-0.018048,ee
B Second wave peak,EE,Estonia,2022,40,-0.715088,ee
B Second wave peak,EE,Estonia,2022,60,-0.665544,ee
B Second wave peak,EE,Estonia,2022,80,-0.27037,ee
B Second wave peak,EE,Estonia,2022,100,5.51e-4,ee
B Second wave peak,EE,Estonia,2023,0,-0.132121,ee
