region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
GB-EAW,Female,2020,-1.504285,-1.030863,-0.606619,83.592235,82.559368,0,sig
GB-EAW,Female,2021,-1.594513,-0.910174,-0.254866,83.679376,82.765772,0,sig
GB-EAW,Female,2022,-1.571206,-0.687807,0.103677,83.775039,83.087864,0.052,ns
GB-EAW,Female,2023,-1.653946,-0.642609,0.439411,83.860341,83.22359,0.088,ns
GB-EAW,Female,2024,-1.312292,-0.27261,0.781221,83.965011,83.686513,0.308,ns
GB-EAW,Female,2020-2024,-1.453321,-0.698748,-0.059273,83.763678,83.062116,0.02,sig
GB-NIR,Female,2020,-1.205747,-0.797446,-0.418261,82.83663,82.022985,0,sig
GB-NIR,Female,2021,-1.441448,-0.852485,-0.302737,82.929144,82.070249,0,sig
GB-NIR,Female,2022,-0.932455,-0.34239000000000003,0.346972,83.042245,82.681498,0.144,ns
GB-NIR,Female,2023,-1.044926,-0.335007,0.528885,83.161677,82.833652,0.196,ns
GB-NIR,Female,2024,-1.238919,-0.483515,0.455751,83.227245,82.753021,0.12,ns
GB-NIR,Female,2020-2024,-1.072224,-0.573639,0.0538,83.043065,82.469847,0.036,sig
GB-SCT,Female,2020,-0.835718,-0.576295,-0.248624,81.301366,80.739785,0,sig
GB-SCT,Female,2021,-1.187426,-0.847397,-0.414112,81.369882,80.520707,0,sig
GB-SCT,Female,2022,-0.896264,-0.495881,0.039443,81.423465,80.917323,0.028,sig
GB-SCT,Female,2023,-1.108755,-0.651212,-0.090891,81.4596,80.812024,0.008,sig
GB-SCT,Female,2024,-0.698371,-0.290949,0.308871,81.510385,81.236926,0.176,ns
GB-SCT,Female,2020-2024,-0.891818,-0.559265,-0.156467,81.421812,80.852677,0.008,sig
GR,Female,2020,-0.682472,-0.416087,-0.134487,84.244815,83.82546,0.004,sig
GR,Female,2021,-1.671525,-1.33804,-0.978818,84.312707,82.976367,0,sig
GR,Female,2022,-1.4305,-0.96674,-0.555594,84.370118,83.408979,0,sig
GR,Female,2023,-0.872075,-0.377098,0.116068,84.44393,84.066304,0.06,ns
GR,Female,2024,-0.976905,-0.404244,0.140531,84.513404,84.094225,0.056,ns
GR,Female,2020-2024,-1.056291,-0.697562,-0.37777,84.364635,83.664756,0,sig
HR,Female,2020,-1.473595,-0.773146,-0.010905,81.68158,80.890527,0.008,sig
HR,Female,2021,-3.022679,-1.949885,-0.939817,81.880949,79.920058,0,sig
HR,Female,2022,-2.126829,-1.044773,0.281962,82.081397,81.070124,0.052,ns
HR,Female,2023,-1.397693,-0.122049,1.394552,82.293469,82.157386,0.408,ns
HR,Female,2024,-1.756031,-0.203938,1.256141,82.471853,82.245349,0.388,ns
HR,Female,2020-2024,-1.917327,-0.883256,0.143205,82.094856,81.216523,0.052,ns
HU,Female,2020,-1.438533,-0.793899,-0.233694,79.846053,79.039081,0,sig
HU,Female,2021,-3.092602,-2.258329,-1.396571,79.994918,77.743271,0,sig
HU,Female,2022,-1.580107,-0.775026,0.361122,80.134317,79.365908,0.056,ns
HU,Female,2023,-1.00496,-0.027973,1.168316,80.215911,80.220174,0.504,ns
HU,Female,2024,-1.131285,0.00446,1.284526,80.34729,80.336328,0.496,ns
HU,Female,2020-2024,-1.566929,-0.767432,0.085072,80.077441,79.311833,0.048,sig
IL,Female,2020,-0.54195,-0.27747,-0.023849,84.797875,84.52553,0.008,sig
IL,Female,2021,-1.049975,-0.731178,-0.357219,84.925881,84.197075,0,sig
IL,Female,2022,-1.127561,-0.778993,-0.383826,85.027473,84.240322,0,sig
IL,Female,2023,-0.819639,-0.390587,0.074438,85.126013,84.72675,0.052,ns
IL,Female,2024,-1.243501,-0.777275,-0.313029,85.229557,84.442834,0,sig
IL,Female,2020-2024,-0.903898,-0.605443,-0.250691,85.028155,84.426898,0,sig
