region,year,e0deficit_Q025_Male,e0deficit_Q025_Female,e0deficit_Q50_Male,e0deficit_Q50_Female,e0deficit_Q975_Male,e0deficit_Q975_Female,e0expected_Q50_Male,e0expected_Q50_Female,e0observed_Male,e0observed_Female,maleexcessdeficit,highermaledeficit
SE,2023,-1.034856,-1.028687,-0.481933,-0.376179,0.026869,0.197025,82.089837,85.30648,81.587007,84.927062,0.105754,TRUE
SE,2024,-0.640329,-0.794789,0.039754,-0.057204,0.608838,0.622825,82.249312,85.446504,82.289511,85.369406,-0.096959,FALSE
SE,2020-2024,-0.882656,-0.82598,-0.466123,-0.341841,-0.094506,0.084181,81.882731,85.187932,81.417672,84.842754,0.124282,TRUE
SI,2020,-1.583833,-1.758795,-1.104256,-1.325257,-0.413593,-0.872113,78.785897,84.394745,77.70573,83.080253,-0.221002,FALSE
SI,2021,-2.22426,-1.64141,-1.454689,-0.949207,-0.612262,-0.349124,79.110285,84.597986,77.668858,83.633126,0.505482,TRUE
SI,2022,-1.743762,-1.661527,-0.658793,-0.921909,0.32158,-0.206835,79.401408,84.836974,78.740144,83.904528,-0.263115,FALSE
SI,2023,-1.610687,-1.024811,-0.460084,-0.295309,0.623199,0.536239,79.646062,85.015142,79.180032,84.74221,0.164775,TRUE
SI,2024,-1.370482,-1.175847,-0.134441,-0.324531,0.890253,0.612279,79.900943,85.207544,79.798293,84.885201,-0.190089,FALSE
SI,2020-2024,-1.643379,-1.37644,-0.772388,-0.796981,0.008255,-0.146552,79.379997,84.816364,78.590416,84.014793,-0.024594,FALSE
SK,2020,-1.371237,-1.317906,-0.950936,-0.893399,-0.547365,-0.536392,74.393598,81.111667,73.429146,80.218702,0.057537,TRUE
SK,2021,-4.009675,-3.7146149999999998,-3.424005,-3.11385,-2.903714,-2.617848,74.582765,81.285681,71.169554,78.158922,0.310155,TRUE
SK,2022,-2.127582,-1.701536,-1.336456,-1.067586,-0.678894,-0.276813,74.825855,81.46552,73.477994,80.425741,0.26887,TRUE
SK,2023,-1.251737,-1.070127,-0.393949,-0.319118,0.5232,0.484765,75.092341,81.657679,74.674835,81.324292,0.074831,TRUE
SK,2024,-1.138011,-0.972732,-0.281266,-0.13895,0.829707,0.61347,75.293117,81.802977,75.034548,81.661396,0.142316,TRUE
SK,2020-2024,-1.97759,-1.748831,-1.367101,-1.17421,-0.752954,-0.59319,74.846582,81.466272,73.490078,80.300129,0.192892,TRUE
TW,2020,0.023553,-0.068979,0.448935,0.279326,0.97273,0.694296,77.602204,84.111324,78.040679,84.395652,-0.16961,FALSE
TW,2021,-0.787517,-0.779029,-0.193659,-0.347465,0.517474,0.220179,77.810288,84.351149,77.610989,83.997127,-0.153805,FALSE
TW,2022,-2.072219,-1.987733,-1.308553,-1.39653,-0.482796,-0.783673,77.970127,84.565075,76.663047,83.193725,-0.087977,FALSE
TW,2023,-2.211502,-1.933493,-1.273804,-1.301587,-0.364544,-0.459707,78.198153,84.859523,76.931492,83.541413,-0.027784,FALSE
TW,2024,-2.059494,-1.936471,-1.018585,-1.135427,0.184899,-0.161662,78.385759,85.098181,77.347615,83.964792,-0.116842,FALSE
TW,2020-2024,-1.353102,-1.254825,-0.704001,-0.809654,0.058076,-0.179878,78.004703,84.614488,77.300289,83.797947,-0.105652,FALSE
US,2020,-2.664904,-2.008654,-2.457575,-1.795288,-2.237118,-1.569754,76.804405,81.692801,74.346375,79.899197,0.662287,TRUE
US,2021,-3.599528,-2.716754,-3.302743,-2.376196,-3.013891,-2.067982,76.940819,81.798167,73.647297,79.418702,0.926547,TRUE
US,2022,-2.537415,-1.971422,-2.1572,-1.587571,-1.806113,-1.221828,77.077885,81.897617,74.915088,80.302022,0.569629,TRUE
US,2023,-1.619561,-1.233201,-1.221392,-0.784348,-0.803741,-0.33381,77.205524,81.983854,75.984031,81.200099,0.437044,TRUE
US,2024,-1.13148,-0.937677,-0.599619,-0.467326,-0.127901,0.026932,77.333658,82.10208,76.736365,81.635785,0.132292,TRUE
US,2020-2024,-2.288001,-1.730245,-1.967541,-1.41336,-1.647001,-1.086856,77.077439,81.898895,75.107727,80.484065,0.554181,TRUE
