region_iso,sex,year,model,e0_actual,e0_expected,e0_deficit,orig_cluster_assignment
CZ,Total,2023,ASDR random walk with drift,79.878033,80.012751,-0.134718,B
CZ,Total,2024,Lee-Carter,80.103923,80.062732,0.041191,B
CZ,Total,2024,LE random walk with drift,80.103923,80.269062,-0.165139,B
CZ,Total,2024,ASDR random walk with drift,80.103923,80.216196,-0.112273,B
DE,Total,2020,Lee-Carter,81.018687,81.308787,-0.2901,D
DE,Total,2020,LE random walk with drift,81.018687,81.373463,-0.354775,D
DE,Total,2020,ASDR random walk with drift,81.018687,81.360057,-0.34137,D
DE,Total,2021,Lee-Carter,80.807689,81.442345,-0.634656,D
DE,Total,2021,LE random walk with drift,80.807689,81.538788,-0.731099,D
DE,Total,2021,ASDR random walk with drift,80.807689,81.510745,-0.703056,D
DE,Total,2022,Lee-Carter,80.725015,81.553687,-0.828672,D
DE,Total,2022,LE random walk with drift,80.725015,81.704114,-0.979099,D
DE,Total,2022,ASDR random walk with drift,80.725015,81.660192,-0.935177,D
DE,Total,2023,Lee-Carter,81.301285,81.692562,-0.391277,D
DE,Total,2023,LE random walk with drift,81.301285,81.86944,-0.568155,D
DE,Total,2023,ASDR random walk with drift,81.301285,81.808409,-0.507124,D
DE,Total,2024,Lee-Carter,81.622482,81.818452,-0.195969,D
DE,Total,2024,LE random walk with drift,81.622482,82.034766,-0.412283,D
DE,Total,2024,ASDR random walk with drift,81.622482,81.955405,-0.332923,D
DK,Total,2020,Lee-Carter,81.560227,81.623629,-0.063402,C
DK,Total,2020,LE random walk with drift,81.560227,81.687102,-0.126875,C
DK,Total,2020,ASDR random walk with drift,81.560227,81.656091,-0.095865,C
DK,Total,2021,Lee-Carter,81.439855,81.842901,-0.403046,C
DK,Total,2021,LE random walk with drift,81.439855,81.930287,-0.490431,C
DK,Total,2021,ASDR random walk with drift,81.439855,81.865698,-0.425843,C
DK,Total,2022,Lee-Carter,81.307504,82.056538,-0.749034,C
DK,Total,2022,LE random walk with drift,81.307504,82.173472,-0.865967,C
DK,Total,2022,ASDR random walk with drift,81.307504,82.072467,-0.764962,C
DK,Total,2023,Lee-Carter,81.675922,82.269896,-0.593974,C
DK,Total,2023,LE random walk with drift,81.675922,82.416656,-0.740734,C
DK,Total,2023,ASDR random walk with drift,81.675922,82.276427,-0.600505,C
DK,Total,2024,Lee-Carter,82.04492,82.469832,-0.424912,C
DK,Total,2024,LE random walk with drift,82.04492,82.659841,-0.614921,C
DK,Total,2024,ASDR random walk with drift,82.04492,82.47761,-0.43269,C
EE,Total,2020,Lee-Carter,78.762829,79.071531,-0.308703,B
EE,Total,2020,LE random walk with drift,78.762829,79.225396,-0.462568,B
EE,Total,2020,ASDR random walk with drift,78.762829,79.137471,-0.374642,B
EE,Total,2021,Lee-Carter,77.129604,79.372744,-2.24314,B
EE,Total,2021,LE random walk with drift,77.129604,79.642177,-2.512573,B
EE,Total,2021,ASDR random walk with drift,77.129604,79.461418,-2.331814,B
EE,Total,2022,Lee-Carter,78.084127,79.637177,-1.553051,B
EE,Total,2022,LE random walk with drift,78.084127,80.058958,-1.974832,B
EE,Total,2022,ASDR random walk with drift,78.084127,79.778973,-1.694847,B
EE,Total,2023,Lee-Carter,78.980223,79.899548,-0.919325,B
EE,Total,2023,LE random walk with drift,78.980223,80.475739,-1.495516,B
EE,Total,2023,ASDR random walk with drift,78.980223,80.090324,-1.110101,B
EE,Total,2024,Lee-Carter,79.476953,80.187677,-0.710723,B
EE,Total,2024,LE random walk with drift,79.476953,80.89252,-1.415567,B
EE,Total,2024,ASDR random walk with drift,79.476953,80.395647,-0.918694,B
ES,Total,2020,Lee-Carter,82.236835,83.674756,-1.437921,A
ES,Total,2020,LE random walk with drift,82.236835,83.709143,-1.472308,A
ES,Total,2020,ASDR random walk with drift,82.236835,83.685175,-1.44834,A
ES,Total,2021,Lee-Carter,82.988427,83.839876,-0.851449,A
ES,Total,2021,LE random walk with drift,82.988427,83.923452,-0.935025,A
ES,Total,2021,ASDR random walk with drift,82.988427,83.87346,-0.885033,A
ES,Total,2022,Lee-Carter,83.043854,84.003048,-0.959194,A
ES,Total,2022,LE random walk with drift,83.043854,84.137762,-1.093907,A
ES,Total,2022,ASDR random walk with drift,83.043854,84.059671,-1.015817,A
ES,Total,2023,Lee-Carter,83.765874,84.144804,-0.37893,A
ES,Total,2023,LE random walk with drift,83.765874,84.352071,-0.586197,A
ES,Total,2023,ASDR random walk with drift,83.765874,84.24384,-0.477966,A
ES,Total,2024,Lee-Carter,84.023882,84.290332,-0.266451,A
ES,Total,2024,LE random walk with drift,84.023882,84.566381,-0.542499,A
ES,Total,2024,ASDR random walk with drift,84.023882,84.425997,-0.402115,A
FI,Total,2020,Lee-Carter,81.81574,82.176143,-0.360403,C
FI,Total,2020,LE random walk with drift,81.81574,82.088626,-0.272886,C
FI,Total,2020,ASDR random walk with drift,81.81574,82.072549,-0.256809,C
FI,Total,2021,Lee-Carter,81.806104,82.379352,-0.573249,C
FI,Total,2021,LE random walk with drift,81.806104,82.309603,-0.503499,C
FI,Total,2021,ASDR random walk with drift,81.806104,82.276233,-0.470129,C
FI,Total,2022,Lee-Carter,81.194043,82.578913,-1.38487,C
FI,Total,2022,LE random walk with drift,81.194043,82.53058,-1.336537,C
FI,Total,2022,ASDR random walk with drift,81.194043,82.478359,-1.284315,C
FI,Total,2023,Lee-Carter,81.560934,82.78005,-1.219116,C
FI,Total,2023,LE random walk with drift,81.560934,82.751557,-1.190624,C
FI,Total,2023,ASDR random walk with drift,81.560934,82.678927,-1.117993,C
FI,Total,2024,Lee-Carter,82.243769,82.970678,-0.726909,C
FI,Total,2024,LE random walk with drift,82.243769,82.972535,-0.728766,C
FI,Total,2024,ASDR random walk with drift,82.243769,82.87794,-0.634171,C
FR,Total,2020,Lee-Carter,82.208661,82.889307,-0.680647,D
FR,Total,2020,LE random walk with drift,82.208661,82.938001,-0.72934,D
FR,Total,2020,ASDR random walk with drift,82.208661,82.924662,-0.716001,D
FR,Total,2021,Lee-Carter,82.319611,83.03581,-0.716199,D
FR,Total,2021,LE random walk with drift,82.319611,83.13051,-0.8109,D
FR,Total,2021,ASDR random walk with drift,82.319611,83.102583,-0.782972,D
FR,Total,2022,Lee-Carter,82.301332,83.181445,-0.880113,D
FR,Total,2022,LE random walk with drift,82.301332,83.32302,-1.021688,D
FR,Total,2022,ASDR random walk with drift,82.301332,83.279222,-0.97789,D
FR,Total,2023,Lee-Carter,82.890799,83.308699,-0.4179,D
FR,Total,2023,LE random walk with drift,82.890799,83.515529,-0.62473,D
FR,Total,2023,ASDR random walk with drift,82.890799,83.454583,-0.563784,D
FR,Total,2024,Lee-Carter,83.064463,83.438095,-0.373632,D
FR,Total,2024,LE random walk with drift,83.064463,83.708039,-0.643576,D
FR,Total,2024,ASDR random walk with drift,83.064463,83.628672,-0.564209,D
GB-EAW,Total,2020,Lee-Carter,80.539973,81.758847,-1.218873,A
GB-EAW,Total,2020,LE random walk with drift,80.539973,81.709663,-1.16969,A
GB-EAW,Total,2020,ASDR random walk with drift,80.539973,81.706601,-1.166628,A
GB-EAW,Total,2021,Lee-Carter,80.731357,81.863219,-1.131862,A
GB-EAW,Total,2021,LE random walk with drift,80.731357,81.819352,-1.087995,A
GB-EAW,Total,2021,ASDR random walk with drift,80.731357,81.812655,-1.081297,A
GB-EAW,Total,2022,Lee-Carter,81.173023,81.969763,-0.79674,A
GB-EAW,Total,2022,LE random walk with drift,81.173023,81.929042,-0.756019,A
GB-EAW,Total,2022,ASDR random walk with drift,81.173023,81.918101,-0.745078,A
GB-EAW,Total,2023,Lee-Carter,81.260569,82.057695,-0.797126,A
GB-EAW,Total,2023,LE random walk with drift,81.260569,82.038731,-0.778162,A
GB-EAW,Total,2023,ASDR random walk with drift,81.260569,82.02294,-0.762371,A
GB-EAW,Total,2024,Lee-Carter,81.761325,82.148449,-0.387124,A
GB-EAW,Total,2024,LE random walk with drift,81.761325,82.14842,-0.387095,A
GB-EAW,Total,2024,ASDR random walk with drift,81.761325,82.12717,-0.365845,A
GB-NIR,Total,2020,Lee-Carter,80.134047,81.130653,-0.996606,D
GB-NIR,Total,2020,LE random walk with drift,80.134047,81.124547,-0.9905,D
GB-NIR,Total,2020,ASDR random walk with drift,80.134047,81.108462,-0.974415,D
GB-NIR,Total,2021,Lee-Carter,80.128385,81.271852,-1.143467,D
GB-NIR,Total,2021,LE random walk with drift,80.128385,81.312952,-1.184567,D
GB-NIR,Total,2021,ASDR random walk with drift,80.128385,81.280534,-1.152149,D
GB-NIR,Total,2022,Lee-Carter,80.788758,81.402099,-0.61334,D
GB-NIR,Total,2022,LE random walk with drift,80.788758,81.501357,-0.712599,D
GB-NIR,Total,2022,ASDR random walk with drift,80.788758,81.451088,-0.662329,D
GB-NIR,Total,2023,Lee-Carter,81.082082,81.535925,-0.453843,D
GB-NIR,Total,2023,LE random walk with drift,81.082082,81.689763,-0.607681,D
GB-NIR,Total,2023,ASDR random walk with drift,81.082082,81.620118,-0.538036,D
GB-NIR,Total,2024,Lee-Carter,80.559919,81.65817,-1.098251,D
GB-NIR,Total,2024,LE random walk with drift,80.559919,81.878168,-1.318249,D
GB-NIR,Total,2024,ASDR random walk with drift,80.559919,81.787623,-1.227704,D
GB-SCT,Total,2020,Lee-Carter,78.464206,79.380975,-0.916768,A
GB-SCT,Total,2020,LE random walk with drift,78.464206,79.38719,-0.922984,A
GB-SCT,Total,2020,ASDR random walk with drift,78.464206,79.370565,-0.906359,A
GB-SCT,Total,2021,Lee-Carter,78.478743,79.44472,-0.965978,A
GB-SCT,Total,2021,LE random walk with drift,78.478743,79.558518,-1.079775,A
GB-SCT,Total,2021,ASDR random walk with drift,78.478743,79.52394,-1.045197,A
GB-SCT,Total,2022,Lee-Carter,79.019729,79.493374,-0.473646,A
GB-SCT,Total,2022,LE random walk with drift,79.019729,79.729846,-0.710118,A
GB-SCT,Total,2022,ASDR random walk with drift,79.019729,79.675635,-0.655906,A
GB-SCT,Total,2023,Lee-Carter,79.045174,79.544812,-0.499638,A
GB-SCT,Total,2023,LE random walk with drift,79.045174,79.901175,-0.856001,A
GB-SCT,Total,2023,ASDR random walk with drift,79.045174,79.825647,-0.780473,A
GB-SCT,Total,2024,Lee-Carter,79.60398,79.60148,0.0025,A
GB-SCT,Total,2024,LE random walk with drift,79.60398,80.072503,-0.468523,A
GB-SCT,Total,2024,ASDR random walk with drift,79.60398,79.973974,-0.369994,A
GR,Total,2020,Lee-Carter,81.280628,81.619131,-0.338503,B
GR,Total,2020,LE random walk with drift,81.280628,81.664124,-0.383496,B
GR,Total,2020,ASDR random walk with drift,81.280628,81.652454,-0.371826,B
GR,Total,2021,Lee-Carter,80.182203,81.722794,-1.540592,B
GR,Total,2021,LE random walk with drift,80.182203,81.83069,-1.648487,B
GR,Total,2021,ASDR random walk with drift,80.182203,81.806383,-1.62418,B
GR,Total,2022,Lee-Carter,80.787136,81.812486,-1.02535,B
GR,Total,2022,LE random walk with drift,80.787136,81.997256,-1.21012,B
GR,Total,2022,ASDR random walk with drift,80.787136,81.959188,-1.172052,B
GR,Total,2023,Lee-Carter,81.519721,81.893999,-0.374278,B
GR,Total,2023,LE random walk with drift,81.519721,82.163821,-0.6441,B
GR,Total,2023,ASDR random walk with drift,81.519721,82.110872,-0.591151,B
GR,Total,2024,Lee-Carter,81.52914,81.983179,-0.454039,B
GR,Total,2024,LE random walk with drift,81.52914,82.330387,-0.801247,B
GR,Total,2024,ASDR random walk with drift,81.52914,82.26144,-0.7323,B
HR,Total,2020,Lee-Carter,77.783843,78.659759,-0.875916,B
HR,Total,2020,LE random walk with drift,77.783843,78.687967,-0.904125,B
HR,Total,2020,ASDR random walk with drift,77.783843,78.666073,-0.882231,B
HR,Total,2021,Lee-Carter,76.876456,78.847059,-1.970603,B
HR,Total,2021,LE random walk with drift,76.876456,78.90525,-2.028794,B
HR,Total,2021,ASDR random walk with drift,76.876456,78.860085,-1.983629,B
HR,Total,2022,Lee-Carter,78.131082,79.050897,-0.919815,B
HR,Total,2022,LE random walk with drift,78.131082,79.122533,-0.991451,B
HR,Total,2022,ASDR random walk with drift,78.131082,79.052089,-0.921008,B
HR,Total,2023,Lee-Carter,79.202884,79.278254,-0.075369,B
HR,Total,2023,LE random walk with drift,79.202884,79.339816,-0.136931,B
HR,Total,2023,ASDR random walk with drift,79.202884,79.242115,-0.039231,B
HR,Total,2024,Lee-Carter,79.465114,79.467934,-0.002819,B
HR,Total,2024,LE random walk with drift,79.465114,79.557098,-0.091984,B
HR,Total,2024,ASDR random walk with drift,79.465114,79.430192,0.034923,B
HU,Total,2020,Lee-Carter,75.735642,76.665341,-0.929699,B
HU,Total,2020,LE random walk with drift,75.735642,76.698419,-0.962777,B
HU,Total,2020,ASDR random walk with drift,75.735642,76.656377,-0.920735,B
HU,Total,2021,Lee-Carter,74.243498,76.873541,-2.630043,B
HU,Total,2021,LE random walk with drift,74.243498,76.945154,-2.701656,B
HU,Total,2021,ASDR random walk with drift,74.243498,76.858121,-2.614622,B
HU,Total,2022,Lee-Carter,76.101903,77.041539,-0.939636,B
