region_iso,sex,year,model,e0_actual,e0_expected,e0_deficit,orig_cluster_assignment
NL,Total,2020,Lee-Carter,81.39837,82.155535,-0.757165,D
NL,Total,2020,LE random walk with drift,81.39837,82.270781,-0.872411,D
NL,Total,2020,ASDR random walk with drift,81.39837,82.252803,-0.854433,D
NL,Total,2021,Lee-Carter,81.364872,82.276898,-0.912026,D
NL,Total,2021,LE random walk with drift,81.364872,82.477471,-1.112599,D
NL,Total,2021,ASDR random walk with drift,81.364872,82.439829,-1.074957,D
NL,Total,2022,Lee-Carter,81.642919,82.408217,-0.765298,D
NL,Total,2022,LE random walk with drift,81.642919,82.684161,-1.041243,D
NL,Total,2022,ASDR random walk with drift,81.642919,82.625058,-0.982139,D
NL,Total,2023,Lee-Carter,81.855614,82.549144,-0.69353,D
NL,Total,2023,LE random walk with drift,81.855614,82.890852,-1.035238,D
NL,Total,2023,ASDR random walk with drift,81.855614,82.808492,-0.952877,D
NL,Total,2024,Lee-Carter,81.974321,82.672356,-0.698034,D
NL,Total,2024,LE random walk with drift,81.974321,83.097542,-1.123221,D
NL,Total,2024,ASDR random walk with drift,81.974321,82.990132,-1.015811,D
NO,Total,2020,Lee-Carter,83.199916,83.201704,-0.001787,C
NO,Total,2020,LE random walk with drift,83.199916,83.178795,0.021122,C
NO,Total,2020,ASDR random walk with drift,83.199916,83.156824,0.043093,C
NO,Total,2021,Lee-Carter,83.169017,83.410851,-0.241834,C
NO,Total,2021,LE random walk with drift,83.169017,83.40335,-0.234333,C
NO,Total,2021,ASDR random walk with drift,83.169017,83.357717,-0.1887,C
NO,Total,2022,Lee-Carter,82.620013,83.603853,-0.98384,C
NO,Total,2022,LE random walk with drift,82.620013,83.627906,-1.007893,C
NO,Total,2022,ASDR random walk with drift,82.620013,83.556559,-0.936546,C
NO,Total,2023,Lee-Carter,83.013478,83.795331,-0.781853,C
NO,Total,2023,LE random walk with drift,83.013478,83.852461,-0.838983,C
NO,Total,2023,ASDR random walk with drift,83.013478,83.753363,-0.739885,C
NO,Total,2024,Lee-Carter,83.188048,83.983185,-0.795137,C
NO,Total,2024,LE random walk with drift,83.188048,84.077017,-0.888968,C
NO,Total,2024,ASDR random walk with drift,83.188048,83.948144,-0.760095,C
PL,Total,2020,Lee-Carter,76.481584,77.994035,-1.512451,B
PL,Total,2020,LE random walk with drift,76.481584,78.057252,-1.575669,B
PL,Total,2020,ASDR random walk with drift,76.481584,78.045176,-1.563592,B
PL,Total,2021,Lee-Carter,75.535536,78.165997,-2.630461,B
PL,Total,2021,LE random walk with drift,75.535536,78.273311,-2.737774,B
PL,Total,2021,ASDR random walk with drift,75.535536,78.24814,-2.712603,B
PL,Total,2022,Lee-Carter,77.236957,78.340305,-1.103349,B
PL,Total,2022,LE random walk with drift,77.236957,78.489369,-1.252413,B
PL,Total,2022,ASDR random walk with drift,77.236957,78.450039,-1.213083,B
PL,Total,2023,Lee-Carter,78.371403,78.473709,-0.102305,B
PL,Total,2023,LE random walk with drift,78.371403,78.705428,-0.334024,B
PL,Total,2023,ASDR random walk with drift,78.371403,78.650888,-0.279484,B
PL,Total,2024,Lee-Carter,78.747203,78.625087,0.122116,B
PL,Total,2024,LE random walk with drift,78.747203,78.921486,-0.174284,B
PL,Total,2024,ASDR random walk with drift,78.747203,78.8507,-0.103497,B
PT,Total,2020,Lee-Carter,81.386889,82.223419,-0.83653,D
PT,Total,2020,LE random walk with drift,81.386889,82.251113,-0.864225,D
PT,Total,2020,ASDR random walk with drift,81.386889,82.21653,-0.829642,D
PT,Total,2021,Lee-Carter,81.420671,82.411029,-0.990359,D
PT,Total,2021,LE random walk with drift,81.420671,82.522025,-1.101355,D
PT,Total,2021,ASDR random walk with drift,81.420671,82.450151,-1.02948,D
PT,Total,2022,Lee-Carter,81.698774,82.608354,-0.90958,D
PT,Total,2022,LE random walk with drift,81.698774,82.792937,-1.094163,D
PT,Total,2022,ASDR random walk with drift,81.698774,82.680944,-0.98217,D
PT,Total,2023,Lee-Carter,82.283556,82.82734,-0.543784,D
PT,Total,2023,LE random walk with drift,82.283556,83.063849,-0.780293,D
PT,Total,2023,ASDR random walk with drift,82.283556,82.908969,-0.625413,D
PT,Total,2024,Lee-Carter,82.566651,83.01357,-0.446919,D
PT,Total,2024,LE random walk with drift,82.566651,83.334761,-0.76811,D
PT,Total,2024,ASDR random walk with drift,82.566651,83.134281,-0.56763,D
SE,Total,2020,Lee-Carter,82.447883,83.185511,-0.737628,A
SE,Total,2020,LE random walk with drift,82.447883,83.240298,-0.792414,A
SE,Total,2020,ASDR random walk with drift,82.447883,83.226805,-0.778921,A
SE,Total,2021,Lee-Carter,83.032247,83.351286,-0.319038,A
SE,Total,2021,LE random walk with drift,83.032247,83.415125,-0.382877,A
SE,Total,2021,ASDR random walk with drift,83.032247,83.387033,-0.354786,A
SE,Total,2022,Lee-Carter,83.068228,83.515502,-0.447273,A
SE,Total,2022,LE random walk with drift,83.068228,83.589952,-0.521723,A
SE,Total,2022,ASDR random walk with drift,83.068228,83.545986,-0.477757,A
SE,Total,2023,Lee-Carter,83.258609,83.663695,-0.405086,A
SE,Total,2023,LE random walk with drift,83.258609,83.764779,-0.50617,A
SE,Total,2023,ASDR random walk with drift,83.258609,83.703668,-0.44506,A
SE,Total,2024,Lee-Carter,83.843461,83.81596,0.027501,A
SE,Total,2024,LE random walk with drift,83.843461,83.939606,-0.096145,A
SE,Total,2024,ASDR random walk with drift,83.843461,83.860089,-0.016628,A
SI,Total,2020,Lee-Carter,80.369686,81.563342,-1.193656,A
SI,Total,2020,LE random walk with drift,80.369686,81.620666,-1.25098,A
SI,Total,2020,ASDR random walk with drift,80.369686,81.583379,-1.213693,A
SI,Total,2021,Lee-Carter,80.602021,81.771057,-1.169036,A
SI,Total,2021,LE random walk with drift,80.602021,81.900699,-1.298678,A
SI,Total,2021,ASDR random walk with drift,80.602021,81.824048,-1.222027,A
SI,Total,2022,Lee-Carter,81.294395,81.983659,-0.689264,A
SI,Total,2022,LE random walk with drift,81.294395,82.180731,-0.886336,A
SI,Total,2022,ASDR random walk with drift,81.294395,82.061466,-0.767072,A
SI,Total,2023,Lee-Carter,81.945236,82.153793,-0.208556,A
SI,Total,2023,LE random walk with drift,81.945236,82.460763,-0.515527,A
SI,Total,2023,ASDR random walk with drift,81.945236,82.295674,-0.350438,A
SI,Total,2024,Lee-Carter,82.342207,82.344592,-0.002385,A
SI,Total,2024,LE random walk with drift,82.342207,82.740796,-0.398589,A
SI,Total,2024,ASDR random walk with drift,82.342207,82.52671,-0.184503,A
SK,Total,2020,Lee-Carter,76.849962,77.780387,-0.930425,B
SK,Total,2020,LE random walk with drift,76.849962,77.774291,-0.924329,B
SK,Total,2020,ASDR random walk with drift,76.849962,77.759851,-0.909889,B
SK,Total,2021,Lee-Carter,74.597718,77.986525,-3.388807,B
SK,Total,2021,LE random walk with drift,74.597718,78.005878,-3.40816,B
SK,Total,2021,ASDR random walk with drift,74.597718,77.976116,-3.378397,B
SK,Total,2022,Lee-Carter,76.951307,78.200074,-1.248767,B
SK,Total,2022,LE random walk with drift,76.951307,78.237466,-1.286159,B
SK,Total,2022,ASDR random walk with drift,76.951307,78.190908,-1.239601,B
SK,Total,2023,Lee-Carter,78.042585,78.421119,-0.378534,B
SK,Total,2023,LE random walk with drift,78.042585,78.469053,-0.426467,B
SK,Total,2023,ASDR random walk with drift,78.042585,78.404219,-0.361633,B
SK,Total,2024,Lee-Carter,78.377248,78.628952,-0.251705,B
SK,Total,2024,LE random walk with drift,78.377248,78.70064,-0.323392,B
SK,Total,2024,ASDR random walk with drift,78.377248,78.616038,-0.23879,B
TW,Total,2020,Lee-Carter,81.144526,80.775076,0.36945,C
TW,Total,2020,LE random walk with drift,81.144526,80.853923,0.290603,C
TW,Total,2020,ASDR random walk with drift,81.144526,80.842916,0.30161,C
TW,Total,2021,Lee-Carter,80.726245,80.941399,-0.215154,C
TW,Total,2021,LE random walk with drift,80.726245,81.093656,-0.36741,C
TW,Total,2021,ASDR random walk with drift,80.726245,81.071374,-0.345129,C
TW,Total,2022,Lee-Carter,79.823121,81.093811,-1.27069,C
TW,Total,2022,LE random walk with drift,79.823121,81.333388,-1.510267,C
TW,Total,2022,ASDR random walk with drift,79.823121,81.299466,-1.476345,C
TW,Total,2023,Lee-Carter,80.133066,81.268468,-1.135402,C
TW,Total,2023,LE random walk with drift,80.133066,81.573121,-1.440055,C
TW,Total,2023,ASDR random walk with drift,80.133066,81.527302,-1.394236,C
TW,Total,2024,Lee-Carter,80.568131,81.418827,-0.850696,C
TW,Total,2024,LE random walk with drift,80.568131,81.812854,-1.244723,C
TW,Total,2024,ASDR random walk with drift,80.568131,81.754997,-1.186867,C
US,Total,2020,Lee-Carter,77.027766,78.836338,-1.808572,B
US,Total,2020,LE random walk with drift,77.027766,79.073936,-2.046169,B
US,Total,2020,ASDR random walk with drift,77.027766,79.06971,-2.041944,B
US,Total,2021,Lee-Carter,76.423485,78.842991,-2.419506,B
US,Total,2021,LE random walk with drift,76.423485,79.188245,-2.764761,B
US,Total,2021,ASDR random walk with drift,76.423485,79.179328,-2.755843,B
US,Total,2022,Lee-Carter,77.525771,78.849425,-1.323653,B
US,Total,2022,LE random walk with drift,77.525771,79.302555,-1.776784,B
US,Total,2022,ASDR random walk with drift,77.525771,79.288463,-1.762692,B
US,Total,2023,Lee-Carter,78.523187,78.851867,-0.32868000000000003,B
US,Total,2023,LE random walk with drift,78.523187,79.416865,-0.893678,B
US,Total,2023,ASDR random walk with drift,78.523187,79.397109,-0.873922,B
US,Total,2024,Lee-Carter,79.130843,78.851163,0.27968,B
US,Total,2024,LE random walk with drift,79.130843,79.531175,-0.400332,B
US,Total,2024,ASDR random walk with drift,79.130843,79.505258,-0.374414,B
