group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
A First wave peak,ES,Spain,2022,100,-0.006525,es
A First wave peak,ES,Spain,2023,0,-0.073835,es
A First wave peak,ES,Spain,2023,20,-0.058364,es
A First wave peak,ES,Spain,2023,40,0.0392,es
A First wave peak,ES,Spain,2023,60,-0.383224,es
A First wave peak,ES,Spain,2023,80,-0.04438,es
A First wave peak,ES,Spain,2023,100,0.005785,es
A First wave peak,ES,Spain,2024,0,-0.099598,es
A First wave peak,ES,Spain,2024,20,-0.058679,es
A First wave peak,ES,Spain,2024,40,0.065533,es
A First wave peak,ES,Spain,2024,60,-0.309765,es
A First wave peak,ES,Spain,2024,80,-7.91e-4,es
A First wave peak,ES,Spain,2024,100,0.010774,es
A First wave peak,GB-EAW,England and Wales,2020,0,0.022482,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,20,-0.010747,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,40,-0.164621,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,60,-0.411624,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,80,-0.458664,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,100,-0.002875,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,0,-0.002287,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,20,-0.027525,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,40,-0.168284,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,60,-0.278627,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,80,-0.231297,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,100,-0.004196,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,0,-0.015782,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,20,-0.044411,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,40,-0.217394,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,60,-0.388699,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,80,-0.252513,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,100,-0.003203,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,0,-0.015667,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,20,-0.0259,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,40,-0.163472,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,60,-0.26437,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,80,-0.224391,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,100,-0.005156,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,0,0.002477,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,20,-0.031797,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,40,-0.165289,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,60,-0.246013,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,80,-0.196161,gb-eaw
A First wave peak,GB-EAW,England and Wales,2023,100,-0.00539,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,0,-0.008415,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,20,-0.025666,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,40,-0.127973,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,60,-0.089906,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,80,-0.006562,gb-eaw
A First wave peak,GB-EAW,England and Wales,2024,100,-0.004499,gb-eaw
A First wave peak,IT,Italy,2020,0,0.017456,it
A First wave peak,IT,Italy,2020,20,0.00713,it
A First wave peak,IT,Italy,2020,40,-0.047654,it
A First wave peak,IT,Italy,2020,60,-0.367694,it
A First wave peak,IT,Italy,2020,80,-0.574133,it
A First wave peak,IT,Italy,2020,100,-0.005222,it
A First wave peak,IT,Italy,2020-2024,0,0.006429,it
A First wave peak,IT,Italy,2020-2024,20,2.38e-4,it
A First wave peak,IT,Italy,2020-2024,40,-0.021656,it
A First wave peak,IT,Italy,2020-2024,60,-0.246503,it
A First wave peak,IT,Italy,2020-2024,80,-0.359053,it
A First wave peak,IT,Italy,2020-2024,100,8.23e-4,it
A First wave peak,IT,Italy,2021,0,-0.004101,it
A First wave peak,IT,Italy,2021,20,-0.009075,it
A First wave peak,IT,Italy,2021,40,-0.070931,it
A First wave peak,IT,Italy,2021,60,-0.396097,it
A First wave peak,IT,Italy,2021,80,-0.374489,it
A First wave peak,IT,Italy,2021,100,0.001092,it
A First wave peak,IT,Italy,2022,0,0.026295,it
A First wave peak,IT,Italy,2022,20,-0.003784,it
A First wave peak,IT,Italy,2022,40,-0.038335,it
A First wave peak,IT,Italy,2022,60,-0.323806,it
A First wave peak,IT,Italy,2022,80,-0.537921,it
A First wave peak,IT,Italy,2022,100,-0.002434,it
A First wave peak,IT,Italy,2023,0,-0.005323,it
A First wave peak,IT,Italy,2023,20,-0.001632,it
A First wave peak,IT,Italy,2023,40,0.010855,it
A First wave peak,IT,Italy,2023,60,-0.119246,it
A First wave peak,IT,Italy,2023,80,-0.196158,it
A First wave peak,IT,Italy,2023,100,0.00709,it
A First wave peak,IT,Italy,2024,0,-0.003859,it
A First wave peak,IT,Italy,2024,20,0.008833,it
A First wave peak,IT,Italy,2024,40,0.041558,it
A First wave peak,IT,Italy,2024,60,-0.023956,it
A First wave peak,IT,Italy,2024,80,-0.084221,it
A First wave peak,IT,Italy,2024,100,0.008272,it
A First wave peak,LU,Luxembourg,2020,0,-0.326614,lu
A First wave peak,LU,Luxembourg,2020,20,-0.011864,lu
A First wave peak,LU,Luxembourg,2020,40,0.119775,lu
A First wave peak,LU,Luxembourg,2020,60,-0.147508,lu
A First wave peak,LU,Luxembourg,2020,80,-0.224065,lu
A First wave peak,LU,Luxembourg,2020,100,-0.002401,lu
A First wave peak,LU,Luxembourg,2020-2024,0,-0.160941,lu
A First wave peak,LU,Luxembourg,2020-2024,20,-0.017716,lu
A First wave peak,LU,Luxembourg,2020-2024,40,0.05975,lu
A First wave peak,LU,Luxembourg,2020-2024,60,-0.091805,lu
A First wave peak,LU,Luxembourg,2020-2024,80,-0.183001,lu
A First wave peak,LU,Luxembourg,2020-2024,100,0.004707,lu
A First wave peak,LU,Luxembourg,2021,0,-0.192674,lu
A First wave peak,LU,Luxembourg,2021,20,-0.047467,lu
A First wave peak,LU,Luxembourg,2021,40,0.012451,lu
A First wave peak,LU,Luxembourg,2021,60,-0.128704,lu
A First wave peak,LU,Luxembourg,2021,80,-0.17084,lu
A First wave peak,LU,Luxembourg,2021,100,0.012978,lu
A First wave peak,LU,Luxembourg,2022,0,0.070243,lu
A First wave peak,LU,Luxembourg,2022,20,-0.027695,lu
A First wave peak,LU,Luxembourg,2022,40,0.107937,lu
A First wave peak,LU,Luxembourg,2022,60,-0.169258,lu
A First wave peak,LU,Luxembourg,2022,80,-0.193491,lu
A First wave peak,LU,Luxembourg,2022,100,0.021155,lu
A First wave peak,LU,Luxembourg,2023,0,-0.404488,lu
A First wave peak,LU,Luxembourg,2023,20,0.004774,lu
A First wave peak,LU,Luxembourg,2023,40,0.014105,lu
A First wave peak,LU,Luxembourg,2023,60,-0.081847,lu
A First wave peak,LU,Luxembourg,2023,80,-0.243074,lu
A First wave peak,LU,Luxembourg,2023,100,-7.5e-5,lu
