region,sex,year,e0deficit_Q025,e0deficit_Q50,e0deficit_Q975,e0expected_Q50,e0observed,e0_deficit_pval,sig
GB-EAW,Male,2020,-1.633266,-1.345805,-1.100189,79.863579,78.526194,0,sig
GB-EAW,Male,2021,-1.696391,-1.293542,-0.922473,79.987879,78.687395,0,sig
GB-EAW,Male,2022,-1.341969,-0.850196,-0.381484,80.09118,79.233903,0,sig
GB-EAW,Male,2023,-1.488123,-0.91192,-0.372742,80.200777,79.279522,0,sig
GB-EAW,Male,2024,-1.191627,-0.462122,0.089798,80.272897,79.811064,0.056,ns
GB-EAW,Male,2020-2024,-1.404414,-0.981369,-0.618301,80.090901,79.106119,0,sig
GB-NIR,Male,2020,-1.787374,-1.158201,-0.4851,79.373136,78.225456,0,sig
GB-NIR,Male,2021,-2.141973,-1.400683,-0.518634,79.564074,78.156418,0,sig
GB-NIR,Male,2022,-1.829934,-0.848379,0.149969,79.694922,78.867954,0.032,sig
GB-NIR,Male,2023,-1.672103,-0.565785,0.513568,79.886404,79.287175,0.112,ns
GB-NIR,Male,2024,-2.732586,-1.682423,-0.571308,80.038707,78.372251,0.004,sig
GB-NIR,Male,2020-2024,-1.943131,-1.130249,-0.337832,79.719519,78.576251,0.012,sig
GB-SCT,Male,2020,-1.451251,-1.228392,-0.984247,77.394813,76.170443,0,sig
GB-SCT,Male,2021,-1.359133,-1.074187,-0.733156,77.471852,76.395061,0,sig
GB-SCT,Male,2022,-0.779623,-0.449843,-0.117104,77.539782,77.076103,0,sig
GB-SCT,Male,2023,-0.671864,-0.366919,0.074552,77.613719,77.23099,0.04,sig
GB-SCT,Male,2024,-0.082558,0.260768,0.68155,77.671785,77.934146,1,ns
GB-SCT,Male,2020-2024,-0.8245,-0.583357,-0.279771,77.536994000000007,76.956928,0,sig
GR,Male,2020,-0.776059,-0.25042,0.240954,78.991884,78.737513,0.164,ns
GR,Male,2021,-2.403646,-1.71418,-1.003073,79.111446,77.416364,0,sig
GR,Male,2022,-1.93051,-1.098066,-0.287571,79.266403,78.182898,0.012,sig
GR,Male,2023,-1.275104,-0.375584,0.541135,79.331365,78.971857,0.224,ns
GR,Male,2024,-1.44547,-0.525938,0.474642,79.503701,78.975714,0.148,ns
GR,Male,2020-2024,-1.4891,-0.778509,-0.095378,79.229193,78.444328,0.012,sig
HR,Male,2020,-1.470815,-0.933825,-0.389961,75.555772,74.632205,0,sig
HR,Male,2021,-2.635743,-1.902223,-1.074972,75.734343,73.843816,0,sig
HR,Male,2022,-1.68701,-0.823003,0.100612,75.980281,75.160519,0.04,sig
HR,Male,2023,-1.119656,-0.031588,1.084851,76.197947,76.187598,0.492,ns
HR,Male,2024,-0.853712,0.17338,1.458176,76.450833,76.601449,1,ns
HR,Male,2020-2024,-1.494782,-0.744934,0.037162,75.993833,75.230862,0.036,sig
HU,Male,2020,-1.288651,-1.001737,-0.660613,73.312442,72.324999,0,sig
HU,Male,2021,-3.162564,-2.811312,-2.408702,73.55191,70.746473,0,sig
HU,Male,2022,-1.505436,-1.059095,-0.567368,73.797142,72.724902,0,sig
HU,Male,2023,-0.723002,-0.21528,0.310742,73.975767,73.781346,0.208,ns
HU,Male,2024,-0.570204,-0.069667,0.522206,74.197503,74.130038,0.408,ns
HU,Male,2020-2024,-1.402901,-1.087995,-0.688812,73.77073,72.691217,0,sig
IL,Male,2020,-0.7824,-0.575054,-0.37319,80.820625,80.256535,0,sig
IL,Male,2021,-1.273625,-0.914467,-0.625345,80.895576,79.988284,0,sig
IL,Male,2022,-1.279545,-0.887633,-0.495202,80.998408,80.129456,0,sig
IL,Male,2023,-1.128555,-0.711931,-0.327931,81.091408,80.373611,0.004,sig
IL,Male,2024,-1.395675,-0.907812,-0.374592,81.193066,80.280586,0,sig
IL,Male,2020-2024,-1.127957,-0.80071,-0.501551,81.007534,80.200987,0,sig
IS,Male,2020,-1.353874,-0.18748,1.039417,81.391824,81.188262,0.36,ns
IS,Male,2021,-1.743636,-0.084566,1.752494,81.606944,81.508975,0.468,ns
IS,Male,2022,-3.071175,-0.926211,1.162398,81.759998,80.799917,0.164,ns
IS,Male,2023,-3.619502,-1.02827,1.348617,81.820727,80.708649,0.164,ns
IS,Male,2024,-3.571744,-0.692481,1.570058,81.909845,81.182891,0.28,ns
IS,Male,2020-2024,-2.346875,-0.638002,1.041328,81.706284,81.053958,0.24,ns
IT,Male,2020,-1.990437,-1.431105,-0.748731,81.28211,79.852897,0,sig
IT,Male,2021,-1.941213,-1.178035,-0.33088,81.463706,80.287977,0.008,sig
IT,Male,2022,-2.044214,-1.102498,-0.009265,81.669933,80.560537,0.024,sig
IT,Male,2023,-1.598553,-0.423834,0.750004,81.734849,81.305099,0.216,ns
IT,Male,2024,-1.377966,-0.240834,1.041383,81.907713,81.663347,0.348,ns
IT,Male,2020-2024,-1.606063,-0.905079,-0.004381,81.619755,80.718135,0.024,sig
JP,Male,2020,-0.193903,-0.002468,0.205272,81.588823,81.589636,1,ns
JP,Male,2021,-0.579384,-0.287146,0.015741,81.774228,81.489484,0.032,sig
JP,Male,2022,-1.292827,-0.921646,-0.588052,81.985026,81.05751,0,sig
JP,Male,2023,-1.499694,-1.07359,-0.653197,82.183393,81.108945,0,sig
JP,Male,2024,-1.674229,-1.276166,-0.776783,82.394483,81.11767,0,sig
JP,Male,2020-2024,-1.016407,-0.729756,-0.407708,81.991047,81.259661,0,sig
LT,Male,2020,-2.345032,-1.688827,-0.93351,71.935806,70.282162,0,sig
LT,Male,2021,-3.654417,-2.703392,-1.805548,72.306843,69.618462,0,sig
LT,Male,2022,-2.355599,-1.268348,-0.233899,72.671903,71.392109,0.004,sig
LT,Male,2023,-1.313458,-0.077823,1.303769,72.990051,72.894542,0.44,ns
LT,Male,2024,-1.532509,-0.320276,0.994539,73.385849,73.029737,0.34,ns
LT,Male,2020-2024,-2.138488,-1.250483,-0.388801,72.661883,71.404174,0.008,sig
LU,Male,2020,-1.371051,-0.691332,0.013,80.337966,79.643587,0.008,sig
LU,Male,2021,-1.027598,-0.195022,0.656827,80.558469,80.307619,0.3,ns
LU,Male,2022,-1.226619,-0.204065,0.784937,80.715144,80.456172,0.312,ns
LU,Male,2023,-0.221174,0.557377,1.786663,80.882304,81.442496,1,ns
LU,Male,2024,-1.342589,-0.505872,0.832916,81.041091,80.501745,0.176,ns
LU,Male,2020-2024,-0.877215,-0.243098,0.602216,80.675176,80.453545,0.244,ns
LV,Male,2020,-1.073845,-0.416614,0.15117,71.005254,70.581809,0.056,ns
LV,Male,2021,-3.8827,-3.092737,-2.366747,71.29414,68.215557,0,sig
LV,Male,2022,-3.038283,-2.158472,-1.200911,71.607392,69.484967,0,sig
LV,Male,2023,-2.451706,-1.444135,-0.378985,71.923601,70.442132,0,sig
LV,Male,2024,-1.92391,-0.844589,0.397402,72.2447,71.403763,0.104,ns
LV,Male,2020-2024,-2.293641,-1.651683,-0.848544,71.624791,69.969232,0,sig
NL,Male,2020,-1.250019,-0.955391,-0.606449,80.624229,79.676557,0,sig
