region_iso,sex,year,year_int,e0_deficit_pval
GR,Total,2020-2024,NA,0
HR,Male,2020,2020,0
HR,Male,2021,2021,0
HR,Male,2022,2022,0.04
HR,Male,2023,2023,0.492
HR,Male,2024,2024,1
HR,Male,2020-2024,NA,0.036
HR,Female,2020,2020,0.008
HR,Female,2021,2021,0
HR,Female,2022,2022,0.052
HR,Female,2023,2023,0.408
HR,Female,2024,2024,0.388
HR,Female,2020-2024,NA,0.052
HR,Total,2020,2020,0
HR,Total,2021,2021,0
HR,Total,2022,2022,0
HR,Total,2023,2023,0.428
HR,Total,2024,2024,0.516
HR,Total,2020-2024,NA,0.008
HU,Male,2020,2020,0
HU,Male,2021,2021,0
HU,Male,2022,2022,0
HU,Male,2023,2023,0.208
HU,Male,2024,2024,0.408
HU,Male,2020-2024,NA,0
HU,Female,2020,2020,0
HU,Female,2021,2021,0
HU,Female,2022,2022,0.056
HU,Female,2023,2023,0.504
HU,Female,2024,2024,0.496
HU,Female,2020-2024,NA,0.048
HU,Total,2020,2020,0
HU,Total,2021,2021,0
HU,Total,2022,2022,0
HU,Total,2023,2023,0.336
HU,Total,2024,2024,0.44
HU,Total,2020-2024,NA,0
IL,Male,2020,2020,0
IL,Male,2021,2021,0
IL,Male,2022,2022,0
IL,Male,2023,2023,0.004
IL,Male,2024,2024,0
IL,Male,2020-2024,NA,0
IL,Female,2020,2020,0.008
IL,Female,2021,2021,0
IL,Female,2022,2022,0
IL,Female,2023,2023,0.052
IL,Female,2024,2024,0
IL,Female,2020-2024,NA,0
IL,Total,2020,2020,0
IL,Total,2021,2021,0
IL,Total,2022,2022,0
IL,Total,2023,2023,0
IL,Total,2024,2024,0
IL,Total,2020-2024,NA,0
IS,Male,2020,2020,0.36
IS,Male,2021,2021,0.468
IS,Male,2022,2022,0.164
IS,Male,2023,2023,0.164
IS,Male,2024,2024,0.28
IS,Male,2020-2024,NA,0.24
IS,Female,2020,2020,1
IS,Female,2021,2021,1
IS,Female,2022,2022,0.004
IS,Female,2023,2023,0.076
IS,Female,2024,2024,0.052
IS,Female,2020-2024,NA,0.02
IS,Total,2020,2020,0.48
IS,Total,2021,2021,1
IS,Total,2022,2022,0.052
IS,Total,2023,2023,0.16
IS,Total,2024,2024,0.248
IS,Total,2020-2024,NA,0.18
IT,Male,2020,2020,0
IT,Male,2021,2021,0.008
IT,Male,2022,2022,0.024
IT,Male,2023,2023,0.216
IT,Male,2024,2024,0.348
IT,Male,2020-2024,NA,0.024
IT,Female,2020,2020,0
IT,Female,2021,2021,0.084
IT,Female,2022,2022,0.08
IT,Female,2023,2023,0.38
IT,Female,2024,2024,0.484
IT,Female,2020-2024,NA,0.14
IT,Total,2020,2020,0
IT,Total,2021,2021,0
IT,Total,2022,2022,0.008
IT,Total,2023,2023,0.22
IT,Total,2024,2024,0.396
IT,Total,2020-2024,NA,0.02
JP,Male,2020,2020,1
JP,Male,2021,2021,0.032
JP,Male,2022,2022,0
JP,Male,2023,2023,0
JP,Male,2024,2024,0
JP,Male,2020-2024,NA,0
JP,Female,2020,2020,1
JP,Female,2021,2021,0.256
JP,Female,2022,2022,0
JP,Female,2023,2023,0.004
JP,Female,2024,2024,0.008
JP,Female,2020-2024,NA,0.016
JP,Total,2020,2020,1
JP,Total,2021,2021,0.04
JP,Total,2022,2022,0
JP,Total,2023,2023,0
JP,Total,2024,2024,0
JP,Total,2020-2024,NA,0
LT,Male,2020,2020,0
LT,Male,2021,2021,0
LT,Male,2022,2022,0.004
LT,Male,2023,2023,0.44
LT,Male,2024,2024,0.34
LT,Male,2020-2024,NA,0.008
LT,Female,2020,2020,0
LT,Female,2021,2021,0
LT,Female,2022,2022,0
LT,Female,2023,2023,0.308
LT,Female,2024,2024,0.144
LT,Female,2020-2024,NA,0
LT,Total,2020,2020,0
LT,Total,2021,2021,0
LT,Total,2022,2022,0
LT,Total,2023,2023,0.328
LT,Total,2024,2024,0.172
LT,Total,2020-2024,NA,0
LU,Male,2020,2020,0.008
LU,Male,2021,2021,0.3
LU,Male,2022,2022,0.312
LU,Male,2023,2023,1
LU,Male,2024,2024,0.176
LU,Male,2020-2024,NA,0.244
LU,Female,2020,2020,0.128
LU,Female,2021,2021,0.232
LU,Female,2022,2022,0.436
LU,Female,2023,2023,0.304
LU,Female,2024,2024,1
LU,Female,2020-2024,NA,0.336
LU,Total,2020,2020,0.016
LU,Total,2021,2021,0.22
LU,Total,2022,2022,0.4
LU,Total,2023,2023,1
LU,Total,2024,2024,0.392
LU,Total,2020-2024,NA,0.284
LV,Male,2020,2020,0.056
LV,Male,2021,2021,0
LV,Male,2022,2022,0
LV,Male,2023,2023,0
LV,Male,2024,2024,0.104
LV,Male,2020-2024,NA,0
LV,Female,2020,2020,0.144
LV,Female,2021,2021,0
LV,Female,2022,2022,0.008
LV,Female,2023,2023,0.2
LV,Female,2024,2024,1
LV,Female,2020-2024,NA,0.02
LV,Total,2020,2020,0.028
LV,Total,2021,2021,0
LV,Total,2022,2022,0
LV,Total,2023,2023,0.004
LV,Total,2024,2024,0.164
LV,Total,2020-2024,NA,0
NL,Male,2020,2020,0
NL,Male,2021,2021,0
NL,Male,2022,2022,0
NL,Male,2023,2023,0.004
NL,Male,2024,2024,0.028
NL,Male,2020-2024,NA,0
NL,Female,2020,2020,0
NL,Female,2021,2021,0
NL,Female,2022,2022,0
NL,Female,2023,2023,0.008
NL,Female,2024,2024,0.012
NL,Female,2020-2024,NA,0
NL,Total,2020,2020,0
NL,Total,2021,2021,0
NL,Total,2022,2022,0
NL,Total,2023,2023,0
NL,Total,2024,2024,0.004
NL,Total,2020-2024,NA,0
NO,Male,2020,2020,0.332
NO,Male,2021,2021,0.088
NO,Male,2022,2022,0
NO,Male,2023,2023,0
NO,Male,2024,2024,0
NO,Male,2020-2024,NA,0
NO,Female,2020,2020,1
NO,Female,2021,2021,0.04
NO,Female,2022,2022,0
NO,Female,2023,2023,0
NO,Female,2024,2024,0.004
NO,Female,2020-2024,NA,0
NO,Total,2020,2020,0.5
NO,Total,2021,2021,0.008
NO,Total,2022,2022,0
NO,Total,2023,2023,0
NO,Total,2024,2024,0
NO,Total,2020-2024,NA,0
PL,Male,2020,2020,0
PL,Male,2021,2021,0
PL,Male,2022,2022,0.004
PL,Male,2023,2023,0.476
PL,Male,2024,2024,1
PL,Male,2020-2024,NA,0
PL,Female,2020,2020,0
PL,Female,2021,2021,0
PL,Female,2022,2022,0
PL,Female,2023,2023,0.308
PL,Female,2024,2024,1
PL,Female,2020-2024,NA,0
PL,Total,2020,2020,0
PL,Total,2021,2021,0
PL,Total,2022,2022,0
PL,Total,2023,2023,0.36
PL,Total,2024,2024,1
PL,Total,2020-2024,NA,0
PT,Male,2020,2020,0
PT,Male,2021,2021,0
PT,Male,2022,2022,0.012
PT,Male,2023,2023,0.096
PT,Male,2024,2024,0.228
PT,Male,2020-2024,NA,0.016
PT,Female,2020,2020,0
PT,Female,2021,2021,0.004
PT,Female,2022,2022,0.004
PT,Female,2023,2023,0.116
PT,Female,2024,2024,0.156
PT,Female,2020-2024,NA,0.008
PT,Total,2020,2020,0
PT,Total,2021,2021,0
PT,Total,2022,2022,0
PT,Total,2023,2023,0.044
PT,Total,2024,2024,0.108
PT,Total,2020-2024,NA,0
SE,Male,2020,2020,0
SE,Male,2021,2021,0.012
SE,Male,2022,2022,0.036
SE,Male,2023,2023,0.044
SE,Male,2024,2024,1
SE,Male,2020-2024,NA,0.02
SE,Female,2020,2020,0.004
SE,Female,2021,2021,0.312
SE,Female,2022,2022,0.124
SE,Female,2023,2023,0.18
SE,Female,2024,2024,0.492
SE,Female,2020-2024,NA,0.172
SE,Total,2020,2020,0
SE,Total,2021,2021,0.044
SE,Total,2022,2022,0.028
SE,Total,2023,2023,0.056
SE,Total,2024,2024,1
SE,Total,2020-2024,NA,0.02
SI,Male,2020,2020,0
SI,Male,2021,2021,0
SI,Male,2022,2022,0.144
SI,Male,2023,2023,0.324
SI,Male,2024,2024,1
SI,Male,2020-2024,NA,0.052
SI,Female,2020,2020,0
SI,Female,2021,2021,0
SI,Female,2022,2022,0.012
SI,Female,2023,2023,0.408
SI,Female,2024,2024,0.412
SI,Female,2020-2024,NA,0.02
SI,Total,2020,2020,0
SI,Total,2021,2021,0
SI,Total,2022,2022,0.012
SI,Total,2023,2023,0.276
SI,Total,2024,2024,0.496
SI,Total,2020-2024,NA,0.004
SK,Male,2020,2020,0
SK,Male,2021,2021,0
SK,Male,2022,2022,0
SK,Male,2023,2023,0.152
SK,Male,2024,2024,0.224
SK,Male,2020-2024,NA,0
SK,Female,2020,2020,0
SK,Female,2021,2021,0
SK,Female,2022,2022,0.02
SK,Female,2023,2023,0.284
SK,Female,2024,2024,0.416
SK,Female,2020-2024,NA,0.004
SK,Total,2020,2020,0
SK,Total,2021,2021,0
SK,Total,2022,2022,0
SK,Total,2023,2023,0.156
SK,Total,2024,2024,0.256
SK,Total,2020-2024,NA,0
TW,Male,2020,2020,1
TW,Male,2021,2021,0.244
TW,Male,2022,2022,0
TW,Male,2023,2023,0
TW,Male,2024,2024,0.048
TW,Male,2020-2024,NA,0.032
TW,Female,2020,2020,1
TW,Female,2021,2021,0.168
TW,Female,2022,2022,0
TW,Female,2023,2023,0.004
TW,Female,2024,2024,0.04
TW,Female,2020-2024,NA,0.02
TW,Total,2020,2020,1
TW,Total,2021,2021,0.112
TW,Total,2022,2022,0
TW,Total,2023,2023,0
TW,Total,2024,2024,0
TW,Total,2020-2024,NA,0
US,Male,2020,2020,0
US,Male,2021,2021,0
US,Male,2022,2022,0
US,Male,2023,2023,0
US,Male,2024,2024,1
US,Male,2020-2024,NA,0
US,Female,2020,2020,0
US,Female,2021,2021,0
US,Female,2022,2022,0
US,Female,2023,2023,0
US,Female,2024,2024,1
US,Female,2020-2024,NA,0
US,Total,2020,2020,0
US,Total,2021,2021,0
US,Total,2022,2022,0
US,Total,2023,2023,0
US,Total,2024,2024,1
US,Total,2020-2024,NA,0
