group,region_iso,region_name_en,year,age_group,e0_cntrb_t_mean,region_ggflag
A First wave peak,ES,Spain,2022,80,-0.292467,es
A First wave peak,ES,Spain,2022,100,-0.003616,es
A First wave peak,ES,Spain,2023,0,-0.073042,es
A First wave peak,ES,Spain,2023,20,-0.133585,es
A First wave peak,ES,Spain,2023,40,0.019765,es
A First wave peak,ES,Spain,2023,60,-0.352702,es
A First wave peak,ES,Spain,2023,80,-0.007202,es
A First wave peak,ES,Spain,2023,100,0.003994,es
A First wave peak,ES,Spain,2024,0,-0.113988,es
A First wave peak,ES,Spain,2024,20,-0.146233,es
A First wave peak,ES,Spain,2024,40,0.031824,es
A First wave peak,ES,Spain,2024,60,-0.26663,es
A First wave peak,ES,Spain,2024,80,0.026877,es
A First wave peak,ES,Spain,2024,100,0.007408,es
A First wave peak,GB-EAW,England and Wales,2020,0,0.013474,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,20,-0.012701,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,40,-0.228318,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,60,-0.530826,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,80,-0.450848,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020,100,-0.001328,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,0,-0.02612,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,20,-0.037517,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,40,-0.224637,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,60,-0.355483,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,80,-0.220526,gb-eaw
A First wave peak,GB-EAW,England and Wales,2020-2024,100,-0.001843,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,0,-0.033168,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,20,-0.060745,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,40,-0.303401,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,60,-0.493719,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,80,-0.236196,gb-eaw
A First wave peak,GB-EAW,England and Wales,2021,100,-0.001378,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,0,-0.040785,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,20,-0.035453,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,40,-0.193843,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,60,-0.310311,gb-eaw
A First wave peak,GB-EAW,England and Wales,2022,80,-0.210713,gb-eaw
